type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,2403.7,2684.4,187.4,1408.9,1454.0,1606.5,2072.4,2182.6,3553.5,3850.5,3944.8,4039.2,15588.9,32212.5,53661.9,5007.0,5000
read,1970.2,1959.5,173.5,307.0,364.2,1643.7,1766.2,2098.4,2366.3,3596.8,3826.7,3975.9,7944.0,25618.1,44190.2,10071.6,10000
read,1541.4,1317.6,173.5,291.8,339.4,1594.0,1729.4,1839.2,1985.7,2223.0,3254.8,3665.8,4044.0,15931.0,29085.7,14920.0,15000
read,1337.5,1212.1,173.5,287.2,335.4,1512.4,1695.3,1800.3,1882.8,2032.0,2456.6,3161.5,3952.3,15404.1,29036.5,19868.0,20000
read,1220.6,1168.5,173.5,292.2,338.8,753.8,1631.6,1748.7,1860.4,1987.7,2181.6,2825.3,5439.7,14907.3,26579.9,25052.2,25000
read,2802.9,3537.0,202.4,907.3,980.8,1229.4,2209.4,4842.0,4972.6,5103.3,5676.2,6367.3,18041.1,36504.4,40955.6,26399.6,30000
read,2839.9,3635.1,218.6,937.6,1011.3,1245.0,2220.9,4839.4,4976.6,5113.8,5641.7,6418.1,18407.2,37170.3,52789.2,26305.2,35000
read,2791.9,3546.3,218.6,911.2,980.8,1212.1,2152.0,4827.0,4961.6,5096.2,5676.9,6412.0,15995.1,37071.1,44180.2,26670.4,40000
read,2770.4,3497.7,218.6,902.4,967.4,1189.1,2137.9,4822.6,4952.1,5081.5,5672.5,6372.3,16072.9,36750.0,42929.4,26882.0,45000
read,2776.6,3490.9,218.6,896.8,969.4,1213.4,2151.5,4825.3,4956.1,5086.9,5665.3,6383.8,15284.3,36916.0,45815.0,26690.8,50000
read,2779.1,3580.8,202.4,906.7,972.6,1186.1,2132.1,4819.9,4948.7,5077.6,5649.6,6382.4,18594.1,37098.9,48760.2,26918.2,55000
