type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,419.2,407.2,173.5,248.0,278.2,395.4,431.9,452.7,466.5,484.4,505.1,541.2,689.4,5437.8,20906.5,4998.0,5000
read,457.9,343.5,173.5,236.0,256.2,444.6,507.5,539.2,561.6,587.3,621.2,671.8,803.7,6528.5,12594.1,10035.0,10000
read,491.5,308.8,173.5,238.4,262.2,474.3,559.0,605.8,637.5,676.1,722.8,789.8,933.8,3570.1,10786.9,14886.4,15000
read,532.6,366.6,173.5,237.7,264.6,505.2,592.4,648.5,691.8,742.8,803.0,893.8,1062.8,5187.1,12609.2,19922.8,20000
read,559.2,360.9,173.5,239.8,267.9,535.5,630.4,686.9,731.7,785.3,853.4,953.8,1108.9,3809.3,15484.2,24957.4,25000
read,573.8,345.5,160.7,239.9,267.2,551.7,657.1,716.6,760.8,816.0,890.6,996.5,1171.0,3048.6,13340.7,29887.5,30000
read,586.0,335.7,160.7,241.3,268.6,558.4,679.9,746.9,794.7,850.3,923.3,1024.7,1209.3,2486.6,10143.3,34866.4,35000
read,597.1,393.5,173.5,245.1,274.6,561.7,690.4,761.3,812.1,869.4,940.4,1045.8,1257.9,2541.2,16595.0,40003.8,40000
read,620.8,361.0,173.5,259.7,294.9,585.0,719.6,790.3,839.8,897.8,970.9,1074.8,1288.0,2226.0,14403.5,45042.2,45000
read,1354.0,875.5,173.5,921.8,989.2,1172.1,1250.2,1306.6,1396.1,1978.9,2176.1,2324.9,2542.1,13686.8,30428.4,48618.2,50000
read,1364.5,996.0,187.4,956.5,1015.1,1164.0,1236.4,1278.8,1374.9,2043.7,2185.2,2318.5,2535.8,19097.8,31869.5,49414.2,55000
