type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,412.4,432.4,173.5,246.1,275.3,390.6,425.6,444.3,457.8,471.4,495.0,529.2,630.4,8253.8,18233.1,5059.2,5000
read,449.6,370.3,173.5,236.8,256.8,439.4,503.6,536.6,558.9,583.7,616.5,667.3,772.4,4320.4,12615.5,9883.4,10000
read,497.9,320.9,173.5,232.1,257.4,479.6,569.0,614.8,647.1,686.0,733.0,795.4,922.5,4079.4,12247.0,14990.4,15000
read,539.6,336.0,173.5,242.4,270.0,507.5,604.4,664.5,709.5,761.4,823.4,911.6,1118.3,3714.0,10251.0,20042.2,20000
read,566.0,406.3,173.5,243.4,272.4,538.6,632.0,689.6,735.2,791.2,861.8,961.3,1171.6,4777.5,18073.9,24856.2,25000
read,575.5,331.2,173.5,244.4,272.0,546.5,653.3,715.7,763.0,822.7,898.6,1013.6,1258.3,2952.0,10664.9,29956.6,30000
read,584.0,342.2,173.5,243.9,270.7,547.4,666.4,737.0,789.7,851.5,928.6,1048.2,1303.4,2456.5,10818.0,34846.4,35000
read,598.0,352.7,173.5,249.4,279.8,563.8,689.0,762.1,812.0,870.2,940.5,1051.7,1255.2,2630.5,13389.9,39906.6,40000
read,620.4,484.3,160.7,255.1,287.2,562.3,702.2,782.7,839.2,903.8,985.3,1110.3,1427.6,5026.3,18693.8,44843.8,45000
read,1294.3,929.8,173.5,659.1,893.8,1150.9,1225.1,1271.4,1344.9,1852.4,2131.1,2295.5,2532.0,15799.6,32322.4,49182.8,50000
read,1359.1,877.6,202.4,972.1,1024.5,1166.0,1234.4,1274.1,1358.9,2044.1,2194.5,2323.3,2533.0,13358.2,31769.2,49402.0,55000
