type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,467.0,687.5,187.4,248.9,283.5,417.6,467.8,498.9,522.2,548.6,584.2,637.2,1253.6,7739.4,36512.9,5065.2,5000
read,617.0,942.9,173.5,247.0,276.9,511.6,620.4,679.4,721.0,767.5,826.9,937.2,3418.1,10195.8,34989.0,10105.4,10000
read,629.9,812.9,173.5,242.1,270.5,534.4,665.1,746.0,804.6,873.2,961.1,1093.2,1986.7,13212.6,33831.8,14984.8,15000
read,693.8,744.7,187.4,251.2,289.2,644.5,773.7,842.3,892.0,951.1,1035.7,1160.4,1576.3,9732.8,31332.9,19955.8,20000
read,714.9,788.6,173.5,247.3,279.0,624.7,782.4,865.8,930.7,1015.9,1127.5,1307.0,2051.8,10744.5,35280.8,25009.2,25000
read,790.0,795.6,173.5,260.4,306.9,718.4,884.8,971.4,1035.3,1111.8,1219.3,1402.5,2282.9,10420.9,31805.1,29939.6,30000
read,759.1,666.1,173.5,261.8,307.1,692.1,867.8,954.1,1016.3,1088.5,1179.0,1353.4,2059.6,10180.7,26802.8,35047.2,35000
read,1761.6,1422.7,202.4,1287.1,1323.6,1495.5,1572.7,1609.4,1678.8,1904.3,2772.3,2967.7,4027.5,26225.3,36668.6,38946.8,40000
read,1736.8,1309.1,187.4,1284.9,1318.5,1484.6,1564.1,1604.7,1670.8,1882.2,2771.7,2956.9,3479.6,24235.9,34812.1,39552.2,45000
read,1686.7,1249.2,187.4,1233.0,1289.6,1440.9,1498.1,1566.4,1609.1,2020.0,2683.8,2888.0,3365.6,23272.1,34784.0,40733.5,50000
read,1802.5,1373.4,187.4,1327.0,1387.7,1537.1,1601.2,1659.8,1715.5,1956.7,2855.4,3061.0,3503.8,25142.8,34109.8,38405.4,55000
