type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,490.7,828.4,187.4,246.6,282.8,424.0,471.6,500.1,520.9,545.2,580.1,635.9,2091.4,10167.2,31890.6,5052.0,5000
read,503.5,335.2,173.5,236.3,260.0,467.5,562.7,613.3,646.7,687.3,738.2,807.1,1012.9,4220.2,12444.2,9943.8,10000
read,597.7,709.5,173.5,237.0,264.4,519.0,634.7,704.7,755.0,810.5,880.4,998.4,1856.5,10713.7,27417.5,14904.0,15000
read,605.9,628.9,173.5,237.2,262.6,528.9,661.6,749.0,817.9,894.6,992.2,1127.7,1450.2,7985.6,30715.0,20007.6,20000
read,662.0,705.4,173.5,240.1,270.5,607.2,739.5,809.8,862.8,927.5,1017.6,1156.7,1666.3,10107.6,30503.6,24774.0,25000
read,679.2,797.8,173.5,238.8,266.4,585.9,740.6,829.3,893.7,973.3,1083.5,1253.0,1822.7,10518.3,31723.2,29959.8,30000
read,685.7,697.7,173.5,242.3,273.7,606.2,773.7,859.2,920.0,994.1,1088.3,1245.3,1883.5,8978.4,30783.5,35236.8,35000
read,691.4,552.2,173.5,252.5,290.3,627.5,793.5,875.0,931.8,1000.3,1091.6,1244.1,1775.7,6719.6,19273.6,40100.0,40000
read,812.5,868.8,173.5,267.3,321.8,693.7,901.1,1013.7,1082.8,1158.7,1268.7,1603.2,2348.9,11472.0,31659.0,44929.2,45000
read,1484.0,1169.9,173.5,1050.3,1105.2,1250.1,1322.9,1373.3,1464.7,2182.4,2355.8,2507.1,2928.6,21264.1,34986.4,45826.0,50000
read,1616.4,1171.8,218.6,1152.2,1208.1,1378.1,1457.5,1496.5,1588.4,2272.3,2574.1,2732.0,3096.8,22702.0,33367.2,42280.4,55000
