type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,441.5,553.2,173.5,247.5,281.5,408.5,444.3,463.6,477.6,496.4,519.9,561.2,1042.0,6963.1,30693.0,5040.4,5000
read,459.2,299.5,173.5,231.9,252.6,454.4,517.0,548.3,571.5,595.3,628.9,679.1,795.8,4258.2,9750.4,9970.8,10000
read,505.1,353.8,173.5,236.1,258.9,488.0,574.4,620.7,654.1,692.6,741.3,815.8,962.7,3934.7,16767.3,14944.5,15000
read,534.7,291.7,173.5,238.5,262.8,504.4,600.0,658.7,705.3,761.5,836.2,931.5,1134.3,3204.3,8779.5,20066.4,20000
read,557.5,366.3,173.5,235.8,261.6,523.1,621.4,682.4,732.0,797.6,883.4,992.9,1262.1,2988.9,14982.8,24884.0,25000
read,575.6,392.8,173.5,237.7,263.8,547.3,656.9,720.2,767.4,826.3,900.2,1003.0,1244.7,3214.3,18138.0,29972.1,30000
read,587.9,414.7,173.5,238.2,265.1,549.7,675.2,745.0,796.7,857.3,929.2,1037.3,1278.1,3818.9,15155.6,35098.1,35000
read,593.8,378.9,173.5,239.2,268.1,545.7,676.7,755.4,813.3,879.3,953.8,1075.2,1384.8,2370.5,14081.6,40100.6,40000
read,610.4,382.4,160.7,245.7,280.2,557.5,694.0,778.0,836.2,899.9,977.3,1099.8,1444.4,2584.9,14994.3,45013.6,45000
read,801.2,566.3,173.5,288.9,353.0,745.8,915.5,990.0,1039.9,1095.3,1197.7,1595.0,2107.9,4294.5,20502.8,49957.4,50000
read,1347.5,899.3,202.4,967.4,1019.6,1150.8,1214.0,1264.4,1352.4,2049.2,2167.0,2296.2,2503.8,15779.0,30126.5,49875.8,55000
