#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      331.2   191.6   173.5   228.7   242.0   310.9   346.7   369.4   386.5   405.8   432.9   471.4   568.2  1851.6  9656.8  29990.0    30000  1714234719305  1714234729481
read      361.9   265.2   173.5   231.6   245.7   330.4   375.7   401.6   421.8   445.4   476.8   532.8   786.2  4032.8  9493.7  29997.6    30005  1714234730993  1714234741141
read      364.3   486.0   173.5   231.7   244.6   321.6   364.6   390.0   408.4   432.2   464.4   513.4   698.5  8949.4 19629.8  29985.7    30010  1714234742651  1714234752775
read      354.2   517.5   173.5   230.0   241.4   305.9   344.6   370.8   391.4   416.0   447.8   495.0   662.3  9519.8 19190.8  30033.9    30015  1714234754284  1714234764404
read      351.1   271.4   173.5   229.5   242.4   321.6   366.9   392.0   409.8   431.9   461.9   507.0   645.4  4242.8 10794.5  30019.5    30020  1714234765916  1714234776031
read      323.3   223.7   173.5   223.9   234.9   295.0   330.9   354.0   371.6   394.3   424.2   468.4   579.3  3517.2  8541.8  29960.8    30025  1714234777540  1714234787658
read      338.7   357.4   173.5   225.6   237.7   305.2   344.9   369.9   389.0   411.6   441.9   487.7   601.2  5775.1 15367.9  29989.3    30030  1714234789169  1714234799282
read      338.5   341.3   173.5   226.1   238.1   302.5   340.7   365.8   385.4   408.9   440.3   487.5   621.1  6688.1 12176.3  30004.6    30035  1714234800791  1714234810912
read      347.3   285.9   187.4   230.9   243.5   318.3   360.2   385.3   403.5   427.6   458.5   504.8   638.0  3753.3 13678.6  29973.1    30040  1714234812421  1714234822539
read      347.4   327.6   187.4   230.7   242.7   314.8   355.6   380.1   398.8   422.6   453.3   499.2   635.7  4585.9 13561.4  30005.4    30045  1714234824049  1714234834167
read      338.7   238.2   173.5   227.9   239.5   310.6   353.6   378.0   395.9   418.1   447.8   494.6   600.2  3712.5 10241.3  30138.4    30050  1714234835678  1714234845796
read      345.3   350.8   173.5   229.2   241.1   305.8   344.2   369.9   390.1   414.2   445.4   495.1   705.9  5710.8 12466.1  30040.7    30055  1714234847307  1714234857425
read      341.3   198.5   173.5   230.8   244.4   321.3   362.2   385.5   401.8   423.1   449.3   489.0   586.1  1909.7  8609.2  30059.0    30060  1714234858935  1714234869052
read      333.3   202.7   173.5   231.1   243.5   309.7   345.6   369.4   387.8   409.2   438.1   483.2   595.2  2016.1  8484.8  30099.1    30065  1714234870562  1714234880680
read      342.4   240.4   173.5   231.0   244.6   317.6   357.6   381.7   399.6   422.2   450.6   493.2   606.9  2885.0 10824.0  30038.6    30070  1714234882192  1714234892326
read      335.4   194.9   173.5   231.1   244.0   315.7   353.7   375.1   392.1   411.2   435.9   473.8   571.5  1840.9  9255.3  30032.4    30075  1714234893838  1714234903964
