#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      328.8   186.3   173.5   229.4   242.2   308.4   343.5   366.1   383.0   402.7   430.4   469.5   561.1  1486.9  8592.1  29956.2    30000  1714234994811  1714235004981
read      334.1   186.8   173.5   229.8   242.7   314.5   352.5   374.3   391.2   409.9   434.7   472.0   564.9  2130.4  8600.0  29876.7    30005  1714235006490  1714235016654
read      364.3   248.5   173.5   235.1   247.9   333.2   378.2   402.9   423.2   447.4   480.7   541.0   854.2  3631.6 10241.3  30030.9    30010  1714235018164  1714235028284
read      349.9   339.8   173.5   232.2   244.9   318.6   359.5   383.4   400.8   423.7   453.1   497.8   628.4  5390.3 14964.2  30090.3    30015  1714235029795  1714235039915
read      368.9   481.1   187.4   233.5   245.3   323.0   368.0   394.2   413.9   437.4   470.5   523.9   706.4  8707.1 19133.4  30049.4    30020  1714235041423  1714235051535
read      338.6   382.6   173.5   226.7   238.5   302.4   340.2   364.5   383.2   405.5   435.4   481.6   613.0  6639.2 15702.0  30015.6    30025  1714235053043  1714235063163
read      334.7   296.1   173.5   225.6   237.6   301.8   339.9   364.6   383.7   406.8   437.9   486.4   625.0  4265.8 12516.4  30030.8    30030  1714235064673  1714235074788
read      331.9   325.9   173.5   228.0   239.0   298.0   335.1   359.5   378.2   401.5   432.0   475.4   588.2  4119.1 13606.6  29977.1    30035  1714235076296  1714235086416
read      327.0   267.9   173.5   227.0   238.3   297.1   333.1   356.0   373.2   396.2   426.5   470.7   573.1  3718.0 11589.0  30088.9    30040  1714235087925  1714235098035
read      346.8   345.7   173.5   228.9   241.1   312.2   353.7   379.0   398.3   422.4   453.5   500.1   640.2  5383.6 12659.1  30097.6    30045  1714235099542  1714235109654
read      330.6   274.9   173.5   228.0   239.4   300.8   336.9   360.2   377.7   400.1   430.5   475.8   590.9  3867.8 10833.8  30091.8    30050  1714235111165  1714235121284
read      324.3   234.3   173.5   226.8   238.1   296.2   330.9   353.7   371.9   394.8   424.6   467.8   575.8  3416.4  9163.1  30048.4    30055  1714235122793  1714235132915
read      373.5   472.6   173.5   233.7   246.0   326.3   372.1   398.4   418.6   442.7   476.2   533.1   766.5  8253.5 15992.1  30153.3    30060  1714235134424  1714235144539
read      330.9   243.6   173.5   230.3   242.1   304.9   340.0   362.8   379.8   400.7   429.3   469.7   576.4  3519.4 10822.6  30055.7    30065  1714235146047  1714235156161
read      319.8   192.5   173.5   227.0   239.0   297.2   329.9   351.0   368.4   390.2   418.7   460.7   547.9  1587.7  8460.1  30114.1    30070  1714235157670  1714235167784
read      334.4   215.2   173.5   233.1   244.7   310.1   345.6   369.0   387.2   408.6   437.6   483.8   602.4  2022.1 10613.7  30042.3    30075  1714235169291  1714235179404
read      332.0   187.3   173.5   228.8   242.1   311.4   348.0   370.6   388.0   407.6   434.5   475.1   578.3  1687.2  8681.7  30167.9    30080  1714235180914  1714235191031
