avg,std,min,ts_start,ts_end,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999
447.7,597.9,187.4,1713456308867,1713456314298,4977.6,5000,268.7,302.7,408.9,445.0,464.8,480.2,499.8,528.3,583.6,1015.6,10344.9,23040.7
454.0,353.4,173.5,1713456315803,1713456321209,9962.8,10000,242.7,262.7,443.3,498.2,526.1,544.6,568.5,595.3,638.4,808.8,6012.2,12935.0
461.5,319.3,173.5,1713456322713,1713456328044,14972.3,15000,237.1,255.5,446.7,530.1,570.0,595.7,624.8,659.9,714.4,915.5,3729.9,12441.9
462.3,301.9,173.5,1713456329549,1713456334883,19959.8,20000,233.5,252.5,427.7,529.4,580.4,613.1,647.4,687.8,745.3,898.4,4277.1,10802.6
470.8,290.6,160.7,1713456336388,1713456341711,24861.4,25000,235.9,255.2,430.3,535.7,592.6,630.8,673.5,724.2,795.7,972.2,2457.0,12583.6
466.0,285.0,173.5,1713456343216,1713456348532,30127.8,30000,233.1,252.8,425.4,521.8,582.3,624.2,670.6,724.8,797.0,955.7,2578.0,10249.5
461.2,242.5,173.5,1713456350037,1713456355347,35107.2,35000,231.4,251.4,421.8,514.1,573.3,615.2,663.0,721.8,802.1,985.1,1900.7,7960.6
478.3,266.5,173.5,1713456356852,1713456362166,39919.2,40000,234.5,255.3,438.8,536.0,592.8,634.4,684.2,746.2,842.2,1056.3,1993.6,8818.7
487.2,285.3,173.5,1713456363671,1713456368987,44925.5,45000,237.2,258.8,450.1,548.0,603.7,643.6,692.5,756.3,853.4,1054.6,1594.8,10811.8
462.3,228.9,173.5,1713456370492,1713456375813,49948.8,50000,232.5,252.9,423.2,516.1,570.9,611.5,660.2,722.9,814.4,1008.5,1831.4,6634.9
470.6,252.9,173.5,1713456377318,1713456382630,54740.3,55000,233.3,254.8,432.9,526.1,579.6,619.4,667.2,730.0,824.7,1030.4,1593.9,8481.6
460.0,247.8,173.5,1713456384135,1713456389449,59996.0,60000,231.6,253.0,421.0,508.1,562.0,602.1,650.1,713.6,809.3,1021.6,1461.6,10198.9
490.1,286.2,173.5,1713456390955,1713456396273,64651.8,65000,241.3,266.8,453.0,543.3,595.9,636.5,687.0,752.2,855.1,1069.5,1496.8,10618.6
502.0,269.9,160.7,1713456397777,1713456403082,69850.2,70000,249.8,278.9,467.0,557.9,609.9,647.7,694.7,755.4,851.0,1078.9,2135.1,9851.7
806.5,459.9,173.5,1713456404588,1713456409892,73597.2,75000,411.9,485.2,687.4,832.5,1051.1,1145.8,1218.2,1281.9,1363.3,1495.1,3938.7,17899.9
892.3,531.3,187.4,1713456411397,1713456416706,73268.9,80000,534.0,575.7,737.3,996.7,1182.9,1245.0,1304.9,1364.1,1451.2,1612.5,4054.1,23172.0
896.5,432.3,187.4,1713456418211,1713456423533,73202.4,85000,553.2,591.8,741.5,938.8,1198.9,1267.2,1327.1,1384.4,1468.5,1610.5,3425.8,15878.3
838.1,508.5,173.5,1713456425038,1713456430349,78385.6,90000,510.4,542.6,683.4,980.6,1121.7,1173.5,1222.7,1271.0,1347.7,1487.2,3492.2,22964.0
833.9,423.0,187.4,1713456431854,1713456437174,78720.5,95000,509.1,541.6,681.0,996.3,1122.9,1173.2,1220.8,1267.1,1338.8,1466.7,3802.3,16403.6
774.6,390.3,173.5,1713456438678,1713456443992,84509.4,100000,452.1,485.4,638.1,949.8,1028.9,1068.6,1110.1,1158.2,1225.3,1357.0,2551.1,15687.3
861.1,442.5,160.7,1713456445496,1713456450815,76519.8,105000,528.9,564.3,702.1,971.2,1162.8,1218.7,1266.4,1322.0,1382.0,1529.7,5259.4,15645.2
868.8,435.6,173.5,1713456452320,1713456457639,75845.7,110000,528.0,564.1,718.8,992.7,1157.6,1217.6,1270.1,1331.9,1409.0,1570.2,4670.8,14830.9
853.6,454.2,202.4,1713456459144,1713456464453,77197.6,115000,512.4,548.5,704.7,1005.2,1133.8,1190.4,1240.7,1294.6,1368.6,1527.9,4061.8,17970.3
914.7,486.5,187.4,1713456465957,1713456471293,72199.4,120000,556.6,597.2,756.9,1005.5,1211.4,1279.7,1337.3,1398.3,1483.6,1651.9,6004.3,18024.8
874.8,468.8,173.5,1713456472798,1713456478106,75448.5,125000,524.2,563.3,724.4,993.5,1160.6,1220.9,1274.3,1336.6,1416.1,1584.9,5695.6,16946.6
