avg,std,min,ts_start,ts_end,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999
449.6,484.7,187.4,1713455867028,1713455872468,4982.6,5000,270.1,305.6,416.3,453.2,472.1,489.5,507.0,537.3,588.3,1167.6,7888.3,21329.9
452.9,291.1,173.5,1713455873973,1713455879362,9999.6,10000,242.4,264.0,441.8,500.1,532.2,553.7,579.0,609.8,658.2,824.3,4016.8,11959.1
458.5,319.7,173.5,1713455880867,1713455886202,15051.8,15000,235.3,253.4,442.9,527.0,569.7,596.2,625.2,659.9,710.2,821.0,3856.6,12815.2
473.2,273.7,173.5,1713455887706,1713455893041,20033.6,20000,236.2,256.5,444.4,545.1,598.4,632.7,670.1,713.9,777.4,935.1,1641.3,9491.5
483.3,276.2,173.5,1713455894546,1713455899890,24881.6,25000,233.8,253.4,448.3,552.3,612.3,653.3,699.2,748.9,825.4,994.8,1983.7,9882.2
503.4,313.5,173.5,1713455901395,1713455906717,29924.2,30000,235.0,254.6,457.6,574.5,640.4,688.9,740.1,801.8,896.0,1115.2,3006.5,12202.8
486.2,279.8,173.5,1713455908222,1713455913541,35106.6,35000,232.5,251.1,430.9,546.7,618.3,669.6,727.7,796.7,898.0,1145.6,1659.4,9606.6
489.8,312.2,173.5,1713455915045,1713455920354,39864.0,40000,230.9,248.9,422.2,545.0,621.0,678.7,742.2,817.0,927.8,1213.7,2569.2,10053.9
488.2,330.1,173.5,1713455921859,1713455927171,44844.2,45000,231.3,249.2,410.5,532.1,608.8,669.4,739.5,827.4,959.8,1288.8,2168.5,10852.5
490.0,312.1,173.5,1713455928676,1713455933993,50034.8,50000,231.0,249.4,400.3,521.3,601.9,668.7,747.1,852.1,1017.6,1389.8,2006.2,9935.4
479.6,319.1,173.5,1713455935498,1713455940806,54881.2,55000,230.6,248.1,384.7,495.2,575.3,641.8,726.7,837.5,1024.2,1469.8,2061.5,8761.6
486.2,327.7,173.5,1713455942310,1713455947621,60029.4,60000,231.9,250.4,385.1,490.4,571.4,645.6,741.1,859.9,1067.3,1541.2,2463.6,8625.1
477.2,334.3,173.5,1713455949126,1713455954438,64902.4,65000,231.1,249.3,387.7,486.8,559.4,625.8,712.5,823.3,1015.9,1481.2,2226.9,9977.5
492.7,353.2,173.5,1713455955942,1713455961258,69983.6,70000,233.4,252.0,376.8,469.4,543.5,618.5,741.0,916.7,1205.8,1699.5,2532.9,9656.7
538.4,406.1,173.5,1713455962763,1713455968078,74952.6,75000,241.2,261.8,397.6,507.2,610.1,713.0,851.1,1038.9,1328.2,1902.9,2876.5,10166.7
895.3,1036.4,173.5,1713455969582,1713455974893,73852.6,80000,314.2,352.0,480.7,937.3,1491.8,1590.5,1680.7,1779.5,1940.1,2858.3,12708.2,35136.0
899.0,1071.9,173.5,1713455976398,1713455981697,73532.2,85000,312.6,349.2,485.2,939.8,1474.5,1581.2,1678.4,1785.5,1950.9,2855.8,13264.1,32028.2
877.0,1198.2,173.5,1713455983202,1713455988506,76068.8,90000,317.1,347.2,457.7,695.2,1416.3,1546.3,1644.4,1743.3,1899.1,2909.4,14125.6,35351.4
893.8,1239.8,173.5,1713455990011,1713455995319,74723.0,95000,313.3,348.0,469.6,773.7,1399.9,1543.9,1646.9,1757.9,1929.2,2965.3,15692.0,33865.2
903.1,1130.1,173.5,1713455996824,1713456002135,73674.0,100000,312.2,349.7,502.1,950.0,1387.8,1535.0,1646.7,1765.5,1954.5,2887.1,12915.2,32393.3
879.6,1017.2,173.5,1713456003640,1713456008944,75285.0,105000,315.7,348.3,474.7,911.6,1440.9,1559.5,1655.3,1753.8,1911.1,2825.8,12779.2,31209.8
842.9,1164.4,173.5,1713456010448,1713456015761,78861.2,110000,308.1,335.1,441.7,682.8,1290.0,1482.0,1597.8,1707.7,1865.6,2877.5,15029.3,32242.1
923.8,1316.6,173.5,1713456017266,1713456022579,72509.3,115000,311.7,353.2,491.9,805.6,1460.7,1580.6,1681.2,1791.1,1966.0,2946.0,17535.4,36548.0
896.2,1231.9,173.5,1713456024084,1713456029394,74550.3,120000,315.1,348.9,470.3,744.5,1423.3,1554.4,1655.2,1766.2,1941.3,2955.3,15221.5,32341.3
861.8,1272.4,173.5,1713456030899,1713456036204,77401.0,125000,312.7,342.1,448.6,656.8,1384.2,1525.6,1625.3,1727.6,1877.0,2860.8,16043.4,38018.9
