#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      448.0   608.8   173.5   264.9   300.9   407.1   441.0   460.7   473.7   494.4   520.6   576.2   941.1  9572.9 20922.8   4958.2     5000  1713455682133  1713455687542
read      455.5   334.6   187.4   241.7   262.8   446.1   503.7   533.6   553.3   577.2   605.7   649.8   798.7  4220.3 14492.5  10052.2    10000  1713455689051  1713455694435
read      456.7   300.1   173.5   236.2   255.0   443.0   524.9   565.8   591.4   620.4   653.9   703.0   807.2  3459.3 12837.0  14988.6    15000  1713455695940  1713455701272
read      473.0   315.4   173.5   234.3   253.9   443.1   543.8   598.4   633.3   671.0   714.0   774.9   927.9  2191.8 14776.5  20068.0    20000  1713455702777  1713455708108
read      485.2   265.9   173.5   233.5   253.4   451.2   558.3   617.2   658.0   701.7   753.5   827.6   998.2  2118.2  9376.1  25001.9    25000  1713455709613  1713455714950
read      478.3   266.0   173.5   230.4   249.0   434.5   541.5   606.4   653.0   705.2   766.7   850.3  1034.8  1550.3  9873.2  30000.4    30000  1713455716455  1713455721788
read      495.2   285.2   173.5   232.8   252.2   442.9   560.4   629.8   682.0   740.0   808.3   911.1  1147.3  2029.1 10355.0  35004.8    35000  1713455723292  1713455728600
read      498.7   286.9   173.5   236.0   254.9   427.3   555.1   632.7   694.1   763.1   846.6   964.9  1247.5  1740.0  9079.9  39881.6    40000  1713455730105  1713455735425
read      497.0   300.0   173.5   232.1   251.2   419.1   541.7   621.1   681.5   750.5   841.7   988.1  1370.7  2366.2  8690.9  45054.2    45000  1713455736930  1713455742244
read      501.4   330.2   173.5   233.5   252.1   401.5   521.6   607.1   678.1   771.4   890.2  1083.6  1516.8  2034.1  8796.2  49966.2    50000  1713455743749  1713455749064
read      480.9   324.8   173.5   229.9   248.4   394.1   503.7   580.2   643.9   730.3   839.1  1006.9  1373.7  2040.6  8483.2  54829.6    55000  1713455750569  1713455755883
read      497.7   339.2   173.5   235.0   254.1   397.1   501.5   583.2   658.5   754.4   881.4  1099.0  1568.7  2324.2  9904.1  59944.0    60000  1713455757388  1713455762693
read      479.5   336.0   173.5   230.5   247.8   375.1   472.1   548.2   622.1   730.8   873.7  1094.4  1542.0  2114.9 10783.8  64940.4    65000  1713455764198  1713455769517
read      567.7   494.3   173.5   246.3   267.7   407.4   527.0   631.5   743.0   905.9  1111.0  1459.1  2082.6  3153.9 15581.5  70000.4    70000  1713455771022  1713455776329
read      941.4  1259.5   173.5   314.3   361.2   500.2   854.0  1510.8  1609.1  1704.6  1815.3  1988.2  2962.4 14324.7 32199.3  70640.0    75000  1713455777834  1713455783150
read      938.1  1094.4   173.5   319.1   365.6   507.9  1008.6  1519.2  1619.9  1715.7  1825.8  2005.1  2941.0 12877.0 31863.0  70582.8    80000  1713455784655  1713455789959
read      993.8  1381.9   173.5   317.2   369.3   536.3  1136.7  1545.2  1648.8  1744.7  1856.8  2027.6  2985.3 17824.2 35634.6  67697.4    85000  1713455791465  1713455796777
read      942.5  1111.4   173.5   319.2   362.4   518.3  1078.8  1516.1  1620.8  1714.5  1821.5  1985.3  2934.9 12692.6 32215.8  70485.3    90000  1713455798282  1713455803599
read      952.5  1300.1   173.5   316.2   363.7   509.0   916.9  1510.6  1615.3  1713.1  1824.2  1998.4  2969.9 16727.1 37638.0  70067.5    95000  1713455805103  1713455810409
read      948.3  1309.6   173.5   310.6   359.6   510.0   900.9  1466.2  1591.6  1693.7  1806.3  1985.6  3098.5 17002.9 35795.8  70562.5   100000  1713455811914  1713455817230
read      943.5  1214.3   173.5   314.1   360.9   504.9   907.6  1512.9  1620.9  1714.4  1821.1  1987.7  2985.2 16049.5 33974.1  70656.3   105000  1713455818734  1713455824039
read      948.2  1100.0   173.5   313.5   360.7   521.0  1188.6  1536.0  1633.8  1726.8  1831.5  1992.4  2921.8 13479.6 35572.9  70052.0   110000  1713455825544  1713455830849
read      944.1  1195.7   173.5   316.6   358.9   505.4   934.0  1515.3  1616.5  1714.8  1826.2  1996.8  2989.2 13535.8 32454.0  70719.8   115000  1713455832355  1713455837668
read      904.8  1232.8   173.5   317.5   352.4   475.9   789.2  1426.8  1562.3  1664.8  1770.4  1941.6  2965.8 15835.3 32946.0  73730.7   120000  1713455839173  1713455844484
read      973.6  1300.4   187.4   315.6   369.2   528.5   968.9  1520.1  1630.4  1727.8  1840.3  2023.7  2976.4 16060.6 36309.5  68522.2   125000  1713455845989  1713455851304
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.42%,68.69%,100.00%
