Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715200311015
Timestamp end: 1715201211568

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      374.2   548.7   160.7   217.5   235.8   337.7   367.5   383.6   394.9   407.6   428.1   465.9  1318.0  8325.6 25029.1   7412.9     7434
read      386.9   359.1   148.8   204.0   218.9   341.9   412.6   454.9   487.0   525.4   575.5   654.3   993.2  3606.0  9850.4  67120.4    67201
read      404.4   484.4   148.8   204.1   220.0   345.5   414.3   455.4   486.7   525.7   578.9   669.8  1587.0  6668.7 18333.6  85916.2    85927
read      378.7   250.8   148.8   201.3   215.5   343.6   415.7   457.7   489.6   527.3   575.5   647.4   833.1  2325.7  9899.5  64049.9    63953
read      385.8   323.1   148.8   201.2   215.4   343.7   426.1   476.6   510.5   545.1   587.5   645.8   804.0  3583.4 10120.3  31668.9    31595
read      399.9   441.5   148.8   203.9   219.8   345.9   415.3   457.0   488.4   526.6   578.3   667.7  1379.1  5959.1 15724.4  87981.3    87879
read      356.3   393.0   160.7   215.7   233.8   333.9   363.4   378.2   389.6   401.1   420.7   454.4   639.3  7418.7 13885.2   7247.4     7287
read      375.1   326.8   148.8   197.3   211.4   335.5   401.9   441.7   472.5   510.7   558.1   632.3   885.6  3690.8 10370.6  62275.8    62295
read      349.6   415.9   160.7   213.1   231.9   322.7   350.9   366.0   375.8   390.8   407.2   443.6   659.9  6532.6 17889.6   6547.9     6561
read      356.7   243.6   148.8   194.2   207.5   324.8   408.7   448.2   473.6   499.0   527.6   566.1   658.8  2530.0  9130.3  22582.5    22532
read      369.0   222.0   148.8   196.8   211.5   337.7   405.2   445.6   476.7   513.6   558.6   627.0   795.5  1983.2  8017.6  60646.0    60653
read      379.0   264.5   148.8   200.2   215.0   345.8   416.7   457.8   489.0   525.5   571.1   640.1   836.6  2588.4 10512.6  59151.2    59076
read      372.9   216.5   148.8   199.5   214.1   342.5   412.8   453.9   485.0   521.3   566.1   632.0   788.9  1812.6  8313.2  60118.0    60154
read      405.2   302.4   148.8   201.4   216.3   359.5   450.3   493.3   521.6   553.1   604.4   732.4  1059.9  3403.4  9748.1  22982.6    22964
read      419.1   593.9   160.7   211.3   231.7   369.5   428.6   461.1   483.3   507.0   538.2   585.7  1368.8  8245.9 29296.5   8201.6     8172
read      543.1   862.7   148.8   203.2   219.9   398.8   538.2   645.6   734.7   825.0   921.1  1062.0  2086.0  8937.3 32397.0  27587.8    27652
read      510.7   466.8   148.8   202.9   219.5   375.2   521.9   634.2   750.0   874.9  1006.0  1170.2  1498.7  5041.1 13723.6  37527.3    37594
read      496.9   590.9   148.8   203.7   220.3   401.1   529.7   621.9   692.7   766.9   848.9   959.8  1258.4  7663.5 29059.8  24365.1    24367
read      501.3   402.1   148.8   202.8   219.4   379.4   524.5   633.8   744.1   859.3   976.6  1118.5  1406.3  4135.1 12446.9  33803.2    33771
read      562.7   573.8   148.8   217.5   239.8   411.6   503.1   569.4   626.8   715.6  1243.3  1681.6  2464.2  5392.7 14851.6  85147.6    84944
read      381.6   283.0   148.8   203.7   219.4   345.4   415.4   456.6   487.1   523.3   571.0   646.5   843.8  2373.1 10064.0  85698.8    85666
read      384.0   242.8   148.8   201.3   215.9   350.4   422.4   465.9   499.8   538.7   587.9   662.2   843.7  1870.0  8802.4  51827.4    51918
read      377.9   241.1   148.8   199.4   213.7   339.7   418.0   467.6   502.3   538.8   582.5   643.6   804.5  1990.3  8692.1  34357.1    34406
read      389.5   249.3   148.8   202.2   216.7   351.0   439.4   489.3   521.1   554.1   595.7   660.5   821.9  2028.0  8741.9  28668.5    28664
read      376.8   235.7   148.8   199.2   213.8   340.0   414.7   462.8   498.1   536.0   580.8   642.3   797.6  1791.8  9090.7  38155.4    38289
read      368.7   299.2   148.8   199.1   212.9   342.3   421.1   457.8   481.4   505.5   534.3   575.8   689.6  3315.5 12513.8  20680.9    20658
read      368.5   369.8   148.8   204.8   219.3   357.5   410.2   434.6   451.7   469.1   492.7   525.6   628.9  4169.3 15764.0  13840.0    13840
read      390.2   278.7   148.8   205.1   221.2   347.0   415.9   457.5   489.3   528.4   581.4   675.3  1095.3  2830.1  8775.5  93295.7    93419
read      383.3   282.0   148.8   206.8   223.3   345.4   409.8   448.9   478.0   513.6   560.5   637.2   899.5  2763.5 10867.5  98257.9    98284
read      370.8   239.2   148.8   200.3   214.4   336.1   405.0   445.8   476.1   512.6   558.8   630.6   802.0  2282.1  8248.5  71449.5    71313
read      378.7   291.2   148.8   199.7   214.1   340.2   413.0   461.2   497.9   537.6   585.1   649.8   802.1  1780.7 14344.0  41966.5    42089
read      376.3   239.7   148.8   201.0   215.0   340.2   409.1   454.7   491.1   532.4   580.5   644.4   795.6  1795.3  8808.5  46534.2    46458
read      379.1   283.0   148.8   203.3   217.9   335.8   420.8   473.1   507.5   540.0   578.4   631.6   774.5  2551.5 10132.5  30760.5    30755
read      457.9   522.8   148.8   203.7   219.2   347.7   450.2   523.7   580.5   662.4   841.2  1088.5  1484.0  4395.9 16958.7  42826.2    42889
read      556.2   499.6   148.8   223.3   249.1   422.8   521.0   590.9   645.5   720.4   902.7  1645.6  2023.1  4444.5 12719.2  93426.8    93552
read      378.3   291.6   148.8   203.4   217.5   341.2   411.2   453.0   485.1   524.2   573.2   645.4   831.0  2119.8 11862.2  65765.8    65694
read      371.4   253.0   148.8   201.2   214.2   328.8   416.7   468.5   502.6   534.7   570.4   619.6   732.4  1873.3 11199.6  29715.7    29574
read      381.7   288.9   148.8   202.8   216.7   344.0   413.3   457.8   493.6   535.0   585.5   656.4   833.8  2083.3  8809.7  51530.0    51355
read      375.6   242.6   148.8   203.2   217.3   341.8   410.8   451.5   482.8   520.6   568.3   638.9   804.6  2281.9  7785.6  67313.5    67361
read      373.2   342.2   148.8   203.2   216.5   353.1   417.8   447.4   466.5   488.6   512.9   547.7   669.6  5724.3 10688.8  16406.1    16287
