Random waveform, supplied seed
Total number of intervals = 100 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187)
Average QPS expected = 50833
Timestamp start: 1715201300872
Timestamp end: 1715202201391

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.4   555.6   160.7   223.2   242.1   349.6   381.0   396.8   407.6   422.6   438.4   471.9  1005.5  7893.6 30224.7   7423.7     7434
read      380.4   323.2   148.8   205.4   219.6   336.4   403.8   445.3   477.4   519.5   571.5   646.6   923.4  2941.2 10125.6  67047.0    67201
read      404.8   443.7   148.8   208.2   223.9   344.3   409.9   449.9   481.0   521.3   573.8   665.6  1682.8  6521.8 12004.2  85985.4    85927
read      376.5   241.0   148.8   205.3   219.7   339.6   406.9   448.4   481.0   523.3   574.3   644.4   803.5  2198.7  8762.7  63778.0    63953
read      378.6   384.3   148.8   203.4   217.0   326.9   415.0   469.6   508.4   543.4   580.2   628.5   741.2  3886.4 12768.2  31542.6    31595
read      373.1   302.2   148.8   208.2   223.1   337.0   400.6   438.0   466.6   502.1   546.7   618.5   784.4  3318.2 11344.3  88076.2    87879
read      392.9   698.8   160.7   221.4   240.7   348.5   380.1   396.2   407.2   423.3   442.3   486.1  1316.3 11263.8 31099.5   7275.9     7287
read      365.5   204.6   148.8   203.4   217.2   332.7   398.7   438.5   471.0   515.0   565.1   626.7   733.0  1575.1  7879.4  62256.4    62295
read      369.2   515.0   160.7   221.4   240.8   336.9   365.9   381.4   392.8   404.2   425.3   461.3   830.2  7564.2 24579.2   6604.9     6561
read      369.5   235.9   148.8   199.0   212.6   335.9   429.0   469.2   495.7   522.5   549.5   587.1   674.3  2632.6  9685.2  22470.1    22532
read      368.1   235.5   148.8   202.0   215.6   331.4   396.7   436.8   470.0   515.6   570.2   637.1   751.2  2229.6  8182.3  60668.9    60653
read      366.9   240.8   148.8   202.0   215.5   329.9   394.6   435.0   468.7   515.4   569.9   634.5   747.2  1910.7  8717.8  59140.3    59076
read      377.0   264.6   148.8   204.5   219.2   338.1   406.7   449.4   483.3   526.6   576.6   639.5   799.6  2733.6  9376.1  60005.3    60154
read      377.9   233.8   148.8   204.7   219.5   347.4   438.7   478.8   505.6   531.9   560.6   597.3   684.5  2023.5  8698.1  22998.1    22964
read      405.7   760.5   160.7   221.7   239.6   361.1   397.4   416.9   430.2   447.8   469.8   520.5  1150.0 11558.4 30744.3   8208.9     8172
read      501.6   440.6   148.8   211.3   228.6   412.6   547.8   641.4   720.0   804.7   893.5  1010.1  1234.5  4458.0 14004.8  27666.8    27652
read      530.3   546.8   148.8   210.0   226.8   381.2   531.9   641.7   762.9   895.5  1033.1  1209.3  1652.6  6323.8 19601.3  37519.4    37594
read      505.9   655.2   148.8   209.5   226.9   415.8   539.5   623.1   687.2   756.1   838.0   948.7  1263.2  9095.1 30745.6  24370.2    24367
read      519.3   580.3   148.8   208.5   225.1   390.1   529.0   631.0   730.4   840.8   963.5  1127.4  1560.5  6537.5 30255.0  33747.6    33771
read      683.1   621.6   148.8   240.6   271.7   463.0   567.5   664.3   798.4  1465.7  1641.9  1806.8  2654.8  5131.7 15729.0  85035.9    84944
read      367.5   202.0   148.8   207.5   222.3   336.0   400.2   437.3   466.1   502.2   547.4   616.2   760.1  1933.2  7800.0  85627.1    85666
read      376.8   225.4   148.8   205.4   219.8   341.3   408.3   452.2   488.3   532.4   581.5   645.9   781.2  1812.8  8890.1  51921.2    51918
read      377.1   248.3   148.8   204.2   218.7   333.1   415.2   468.7   507.8   545.2   584.8   636.7   751.6  1864.0  9492.9  34452.8    34406
read      373.4   251.3   148.8   204.4   218.6   330.8   420.6   471.0   505.9   537.5   571.9   618.0   721.2  1835.7  8408.0  28673.7    28664
read      374.5   216.3   148.8   203.9   218.2   331.9   408.4   460.7   501.6   542.3   584.5   639.2   752.7  1651.2  8120.8  38285.1    38289
read      377.0   273.4   148.8   205.9   220.0   348.7   433.9   471.8   497.5   523.0   548.2   586.1   679.6  3360.3 12389.3  20671.8    20658
read      373.1   317.0   160.7   209.5   223.9   362.1   416.6   441.8   458.4   476.4   500.5   535.4   637.5  3314.6 13867.0  13863.1    13840
read      373.6   246.5   148.8   208.5   224.1   341.5   403.7   441.8   470.2   505.8   549.8   620.8   780.3  2384.0  9922.6  93483.3    93419
read      366.6   194.2   148.8   209.5   225.2   338.4   398.1   433.7   461.2   494.6   537.0   600.9   744.9  1819.9  7732.2  98414.3    98284
read      372.0   199.2   148.8   207.8   222.9   338.5   405.9   446.6   476.6   515.0   561.7   628.7   764.0  2195.5  7710.7  71229.8    71313
