Random waveform, supplied seed
Total number of intervals = 90 (5031, 67334, 51649, 73589, 91358, 44450, 7177, 23163, 24926, 23221, 51608, 36817, 74496, 51229, 33392, 78828, 86649, 36448, 51255, 88054, 95434, 55468, 35971, 5833, 41593, 67507, 95680, 16259, 89361, 19364, 18661, 78582, 32121, 8892, 66897, 15837, 24329, 54939, 63390, 72411, 64156, 28719, 12068, 42460, 6453, 16922, 20228, 9028, 74023, 77744, 96135, 56536, 26309, 82998, 47599, 20182, 92427, 61928, 14115, 62408, 90512, 70979, 24053, 73252, 45434, 27895, 47202, 90648, 76620, 21265, 55390, 54223, 91883, 32945, 79021, 97265, 48905, 19593, 75789, 16286, 61636, 42119, 69822, 62342, 36791, 11685, 67480, 23308, 97789, 24818)
Average QPS expected = 50095
Timestamp start: 1715093450044
Timestamp end: 1715094350543

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      402.8   736.7   173.5   246.1   272.7   361.4   390.8   405.8   419.4   433.0   455.0   492.1   692.0  9191.6 34150.3   5000.5     5031
read      393.7   356.6   148.8   207.2   222.2   338.5   413.0   461.0   499.6   548.2   613.2   699.2   994.3  3415.3 10188.9  67049.4    67334
read      406.5   375.1   148.8   205.6   220.5   342.3   425.4   484.0   532.2   589.3   652.5   731.5  1171.8  4771.2 10194.0  51699.3    51649
read      387.4   291.6   148.8   207.6   222.8   339.6   414.5   460.6   495.9   539.9   598.3   683.5   874.1  2726.6  8612.3  73667.7    73589
read      384.2   302.2   148.8   210.2   226.3   345.4   412.4   453.3   484.1   522.0   572.9   651.7   857.7  2167.5 12266.6  91288.6    91358
read      406.9   366.1   148.8   205.3   220.8   341.9   431.8   498.0   547.7   600.6   656.8   728.0  1061.8  4248.9 10241.2  44541.5    44450
read      406.1   752.0   173.5   234.6   256.9   377.1   413.7   432.2   446.1   461.6   481.9   514.3   639.8  8543.5 33605.9   7168.6     7177
read      406.8   389.8   148.8   201.3   215.0   358.5   475.8   522.9   551.7   581.9   617.1   666.7   823.7  4713.8 16099.9  23141.3    23163
read      405.0   344.7   148.8   201.3   215.2   350.6   476.2   528.4   559.6   590.9   626.5   675.5   794.2  4392.1 12431.8  25035.5    24926
read      400.2   311.7   160.7   201.7   215.9   356.3   476.5   525.1   554.3   584.2   617.9   662.8   761.3  2550.2 10211.6  23272.8    23221
