Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715091332930
Timestamp end: 1715092233480

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      386.5   523.7   160.7   227.5   247.7   358.8   391.1   407.3   420.8   434.4   456.4   494.0   687.6  7743.4 24455.4   7425.8     7434
read      372.1   184.1   148.8   206.6   220.7   330.1   399.9   445.9   483.2   529.9   587.0   664.9   837.3  1636.9  5378.0  67145.4    67201
read      376.9   382.2   148.8   207.7   222.3   332.0   395.1   433.9   464.6   503.2   555.1   637.8   859.7  3868.9 15732.3  85886.0    85927
read      388.5   360.0   148.8   204.3   217.9   330.5   399.9   444.5   480.9   528.8   591.5   682.8  1329.6  5083.0 10250.4  64060.4    63953
read      411.5   534.0   148.8   202.3   215.1   335.8   439.3   500.6   541.1   582.8   629.7   694.6  1112.5  7195.4 30456.0  31471.4    31595
read      381.8   369.5   160.7   208.3   223.2   334.3   398.0   436.1   466.7   504.9   557.4   641.5   950.0  4583.6 12023.8  87834.0    87879
read      374.0   460.1   173.5   225.0   244.4   354.1   388.1   405.1   418.7   432.3   453.4   487.4   624.0  5014.7 24611.8   7262.2     7287
read      373.7   223.3   148.8   204.0   217.4   332.1   401.9   447.0   483.4   531.2   591.5   671.0   817.1  1842.0  7984.8  62241.2    62295
read      393.7   891.2   160.7   225.3   246.8   345.2   376.6   394.2   405.4   421.4   437.8   469.6   663.4 11406.9 32476.3   6597.4     6561
read      397.3   503.1   148.8   201.9   214.6   350.0   451.5   497.1   525.8   555.7   588.8   636.7   801.5  6344.2 29581.7  22390.8    22532
read      391.0   412.4   148.8   204.4   217.9   330.7   401.5   449.5   488.5   540.4   606.6   691.3  1239.7  4737.6 15841.6  60711.2    60653
read      373.9   368.3   148.8   201.8   214.9   321.5   389.5   436.0   475.9   526.2   583.7   656.1   879.1  3853.3 13613.2  59054.0    59076
read      371.9   259.5   148.8   203.6   216.9   329.0   398.7   443.6   480.0   526.1   583.4   657.1   804.5  2198.4  9334.6  60259.4    60154
read      378.7   238.2   148.8   202.2   215.2   342.9   443.9   487.9   514.8   542.6   574.7   618.1   707.9  1798.1  9137.9  23080.2    22964
