Random waveform, supplied seed
Total number of intervals = 129 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055)
Average QPS expected = 52063
Timestamp start: 1715198313307
Timestamp end: 1715199213870

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      361.5   550.5   160.7   212.9   230.9   325.7   352.7   367.4   377.8   392.5   410.3   448.9  1413.1  8302.0 20192.4   7428.3     7434
read      353.8   216.1   148.8   195.5   209.0   322.2   382.7   419.1   448.0   484.0   532.2   603.7   761.4  2013.9  9118.2  67065.0    67201
read      377.0   424.1   148.8   197.8   211.9   325.3   387.3   425.2   454.7   490.9   539.9   625.8  1338.0  5666.0 12637.3  85877.6    85927
read      373.7   456.2   148.8   196.5   210.1   324.2   385.5   422.8   453.4   492.0   542.6   623.0  1120.5  5618.2 18495.4  63878.6    63953
read      355.8   212.9   148.8   194.8   208.0   318.0   394.4   442.6   475.2   508.8   546.0   596.8   718.6  1799.8  8549.4  31585.4    31595
read      355.3   376.7   148.8   196.1   209.8   319.6   379.8   415.3   442.3   476.0   521.5   593.6   816.1  2424.0  9338.9  87567.7    87879
read      343.4   368.0   160.7   209.6   226.7   322.9   351.2   367.1   378.3   392.8   410.3   445.1   625.9  4369.3 15522.2   7290.6     7287
read      370.7   391.9   148.8   195.4   209.0   324.0   385.7   423.8   454.9   493.5   544.0   625.9  1108.1  4752.3 13161.1  62179.0    62295
read      353.1   445.9   148.8   216.1   235.2   324.1   350.5   365.0   374.1   389.1   404.5   446.3  1002.1  6457.5 13637.9   6574.7     6561
read      354.2   249.5   148.8   195.0   208.1   323.6   403.0   440.4   463.2   487.5   514.2   553.1   672.3  3184.0 10210.9  22459.0    22532
read      359.7   305.0   148.8   194.3   207.7   321.0   381.2   418.0   448.1   486.8   536.3   609.9   877.0  2898.8  9806.3  60755.1    60653
read      353.1   243.3   148.8   194.3   207.6   320.4   380.3   418.2   449.3   487.8   535.7   603.8   748.6  1881.4  9300.3  58996.9    59076
read      349.0   222.1   148.8   193.2   206.4   318.2   376.7   413.2   443.7   482.2   531.3   598.0   734.2  1792.8  8101.2  60189.9    60154
read      356.6   404.1   148.8   191.8   204.2   315.9   396.3   436.4   461.1   486.4   513.5   551.0   674.3  5417.9 16809.6  22999.1    22964
read      348.3   426.6   160.7   206.0   221.9   324.8   356.0   371.3   383.3   396.5   414.9   447.4   649.8  7676.2 19107.6   8204.4     8172
read      357.2   225.3   148.8   197.0   210.5   319.6   404.2   448.5   475.7   501.9   532.7   576.6   688.3  2278.2  8923.4  27489.4    27652
read      403.3   393.6   148.8   196.7   210.7   327.4   409.0   464.1   501.6   543.7   605.3   826.7  1368.9  4714.7 12247.9  37656.7    37594
read      477.3   358.5   148.8   205.2   221.8   395.6   526.4   621.9   691.9   764.5   844.0   945.8  1149.0  4312.0 12910.1  24319.7    24367
read      499.5   465.4   148.8   204.4   220.8   376.8   517.5   630.6   747.2   854.8   964.7  1097.0  1358.0  4385.4 14142.1  33791.6    33771
read      612.2   606.0   148.8   215.3   239.3   402.4   487.2   575.9   685.6  1304.3  1579.7  1790.4  2503.2  3127.3 15233.8  84970.3    84944
read      350.2   197.4   137.8   198.5   212.6   319.7   381.0   417.2   444.8   477.8   521.7   589.2   743.2  1586.4  7849.5  85727.7    85666
read      360.6   203.6   148.8   201.9   216.1   327.0   391.7   433.1   466.9   505.5   550.8   618.4   753.5  1375.1  7140.5  51973.1    51918
read      367.8   324.5   148.8   199.3   213.0   324.1   400.5   450.2   484.0   519.5   559.5   617.1   745.6  3716.2 12209.2  34463.9    34406
read      366.9   258.0   148.8   199.6   212.5   323.7   410.1   461.3   491.7   522.8   558.1   609.3   735.2  2321.5  9773.8  28792.7    28664
read      365.9   278.4   148.8   199.8   213.1   324.0   395.8   445.9   482.9   520.6   563.1   621.2   747.8  2803.5 10746.8  38265.0    38289
read      368.0   323.2   148.8   201.7   214.3   339.1   418.7   455.6   478.2   500.9   528.8   568.7   676.4  3260.1 12718.9  20671.7    20658
read      367.5   320.7   160.7   205.8   219.6   354.1   408.6   435.0   452.8   470.7   494.1   527.7   637.5  3510.7 15288.8  13755.1    13840
read      352.5   220.1   148.8   202.9   217.0   324.5   381.4   415.1   440.3   471.7   514.4   583.6   736.9  1681.6  8945.2  93341.4    93419
read      352.2   220.7   148.8   203.5   218.3   325.5   381.1   413.6   438.2   469.0   509.6   576.6   725.3  1694.5  9273.2  98313.6    98284
read      361.4   200.4   148.8   202.3   215.3   328.6   392.2   429.7   459.5   495.9   543.5   616.7   775.6  2011.4  7736.7  71453.1    71313
read      362.7   231.6   148.8   200.2   213.5   323.6   392.1   438.9   477.0   517.7   564.5   626.0   750.7  1684.0  7644.6  42010.7    42089
read      364.5   221.4   148.8   200.5   214.2   326.9   393.3   437.9   474.6   515.6   564.5   629.4   763.9  1630.3  7714.3  46365.0    46458
read      365.6   676.4   148.8   199.3   212.5   320.9   405.8   458.8   491.7   524.7   561.4   612.9   732.2  1759.1  8587.0  30801.9    30755
read      362.7   207.8   148.8   199.3   212.9   323.8   392.2   439.0   477.2   517.3   563.4   625.0   759.1  1717.0  7540.7  42731.4    42889
read      348.3   218.9   148.8   202.2   215.6   321.6   378.6   411.2   435.9   466.5   506.4   573.1   719.8  1477.1  8767.4  93559.9    93552
read      363.5   215.0   148.8   200.3   214.4   329.1   392.6   431.5   463.2   501.7   550.4   626.1   787.0  2168.2  8116.6  65727.6    65694
read      364.1   208.1   148.8   199.9   213.3   322.0   408.5   460.8   492.7   525.2   561.5   610.8   716.5  1500.3  8109.3  29491.6    29574
read      365.9   242.2   148.8   200.9   214.4   330.7   395.1   436.5   472.1   514.1   564.3   631.1   772.6  1571.3 11382.6  51360.3    51355
read      360.2   198.9   148.8   202.3   215.2   328.4   390.9   428.4   458.8   495.8   542.8   615.4   760.9  2031.5  7742.3  67452.1    67361
read      370.4   290.2   148.8   204.3   218.0   353.7   418.0   448.2   467.4   488.4   510.0   547.8   665.0  3849.9 12584.6  16263.9    16287
read      620.9   632.0   148.8   220.8   245.5   402.2   535.3   643.8   796.4  1088.7  1460.3  1784.5  2584.1  4290.6 18213.6  81397.1    81508
read      369.0   351.2   148.8   204.3   219.4   334.3   395.1   432.0   460.9   496.3   543.7   623.6   847.6  2665.8  8522.6  87555.0    87619
read      367.9   391.0   148.8   204.4   219.6   329.3   385.6   419.1   444.6   476.0   519.2   588.7   794.2  4613.7 16937.7  99048.7    99068
read      361.6   204.5   148.8   200.9   214.2   324.8   387.7   429.7   465.8   508.7   559.7   626.2   755.2  1864.9  6987.6  51354.9    51267
read      358.5   279.5   160.7   206.1   220.7   347.8   392.7   415.1   430.2   448.0   468.0   501.4   612.4  3748.2 10864.3  11792.4    11822
read      352.4   208.8   148.8   203.5   217.6   324.6   380.6   413.5   438.2   469.3   510.4   579.4   728.4  1893.7  8571.2  97278.6    97494
read      347.1   246.6   148.8   202.1   215.4   318.3   372.9   404.5   430.1   461.1   501.5   567.0   715.7  1900.5  9267.2  97305.7    97350
read      357.8   234.1   148.8   199.2   212.4   323.3   384.1   424.0   457.9   499.0   548.8   618.8   748.4  1792.9  8604.5  55508.6    55460
read      351.9   269.1   148.8   199.0   212.4   319.6   378.9   413.3   439.4   472.1   516.4   584.9   744.1  2156.7  9950.7  85854.9    85984
read      351.8   225.9   148.8   199.2   212.7   320.5   380.4   415.0   441.3   473.6   517.8   587.8   743.2  2013.1  7942.7  82211.4    82043
read      360.4   270.4   148.8   198.5   212.0   322.7   384.5   425.2   460.0   502.0   551.5   620.4   766.4  2245.4  9288.8  52965.9    52873
read      360.4   287.9   148.8   203.9   217.2   347.1   399.6   425.8   443.3   462.5   485.4   515.0   620.1  3851.1 12259.8  13918.4    13911
read      357.4   197.0   148.8   198.6   212.0   322.0   384.1   425.2   460.2   502.5   551.3   617.4   742.6  1740.4  7997.7  49982.6    49984
read      358.9   488.3   160.7   209.4   224.7   335.6   370.5   388.7   400.5   416.2   434.1   466.9   630.4  6988.1 19749.4   9249.7     9274
read      361.6   270.2   148.8   198.2   211.1   317.4   403.5   452.5   482.5   511.3   543.8   587.7   689.5  3836.7 10525.9  27145.3    27187
