avg,std,min,QPS,target,ts_start,ts_end,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999
421.1,646.0,187.4,4943.4,5000.0,1715520324.585,1715520330.035,256.4,276.9,384.1,420.7,438.8,453.7,468.5,490.8,522.9,729.4,9057.9,29764.3
433.0,365.2,173.5,10040.0,10000.0,1715520331.539,1715520336.908,239.7,256.5,425.4,486.8,516.2,536.0,557.5,583.9,623.0,708.2,4169.3,13938.8
452.1,308.7,187.4,14917.8,15000.0,1715520338.413,1715520343.738,236.4,251.8,442.0,530.5,573.2,600.0,628.1,661.9,707.8,795.7,1858.5,13474.9
458.8,260.6,173.5,20065.8,20000.0,1715520345.242,1715520350.568,235.2,251.6,426.9,531.7,586.2,622.5,661.0,704.1,761.3,861.9,1559.9,12421.7
460.9,286.9,173.5,25098.6,25000.0,1715520352.073,1715520357.416,234.9,251.1,420.7,523.7,584.1,625.5,669.6,718.2,780.0,884.5,1978.3,12045.3
458.2,256.7,173.5,29929.4,30000.0,1715520358.921,1715520364.269,230.1,246.3,420.1,519.4,581.6,627.4,676.3,729.9,795.6,919.6,1320.0,10262.6
465.4,284.8,173.5,35017.4,35000.0,1715520365.774,1715520371.083,229.8,245.9,420.4,529.7,594.2,640.0,691.2,751.6,828.1,976.8,1476.5,14010.0
458.8,241.4,173.5,40045.0,40000.0,1715520372.587,1715520377.883,228.5,243.7,407.8,514.4,582.2,634.9,695.7,759.1,840.1,1014.3,1435.2,7529.9
467.6,272.9,173.5,45105.6,45000.0,1715520379.386,1715520384.693,229.5,244.9,396.1,514.8,592.4,653.4,722.6,797.7,900.5,1173.2,1595.7,8236.2
457.3,257.9,173.5,49974.6,50000.0,1715520386.197,1715520391.52,229.3,244.2,383.3,492.2,565.1,626.7,701.8,784.1,896.2,1220.8,1765.0,6343.0
461.9,297.9,173.5,55185.2,55000.0,1715520393.025,1715520398.328,228.6,243.9,377.9,483.9,562.4,627.5,707.8,799.8,932.1,1329.4,1820.6,10231.6
481.8,309.8,173.5,59863.6,60000.0,1715520399.832,1715520405.153,234.4,250.6,376.3,476.5,560.1,639.9,745.9,875.0,1099.5,1508.4,2013.9,6909.2
503.4,355.5,173.5,64926.5,65000.0,1715520406.658,1715520411.96,239.3,257.3,387.8,486.1,564.7,643.7,758.5,922.2,1201.6,1734.9,2351.7,8639.5
534.4,430.2,173.5,69953.6,70000.0,1715520413.465,1715520418.77,238.8,258.0,384.9,489.6,581.4,678.9,839.0,1064.5,1381.6,1994.5,2962.8,10420.8
935.8,1032.6,173.5,70293.1,75000.0,1715520420.274,1715520425.569,299.7,356.3,507.9,1160.9,1534.1,1628.4,1725.2,1832.1,2005.5,2935.6,11781.3,31859.1
691.2,725.6,173.5,78896.6,80000.0,1715520427.073,1715520432.366,255.7,279.9,428.2,673.0,876.2,1017.3,1144.8,1368.9,1894.4,2733.8,5919.4,28836.9
856.7,1300.9,173.5,78286.8,85000.0,1715520433.871,1715520439.174,320.1,345.0,429.8,578.3,1395.8,1532.4,1631.1,1726.7,1869.2,2919.1,17261.9,36518.6
906.7,1105.1,173.5,73230.4,90000.0,1715520440.679,1715520446.016,315.7,350.6,484.2,927.9,1511.0,1592.4,1691.4,1807.5,1971.1,2838.5,15944.7,35255.9
902.9,1152.2,173.5,73758.4,95000.0,1715520447.521,1715520452.824,324.3,356.1,471.8,845.2,1497.5,1584.6,1680.2,1790.2,1950.8,2866.6,13493.3,32215.1
891.3,1361.1,173.5,75420.2,100000.0,1715520454.328,1715520459.628,318.0,352.5,455.7,643.5,1433.9,1560.5,1655.4,1752.3,1899.4,2897.7,17398.9,36330.9
957.8,1385.1,173.5,70365.0,105000.0,1715520461.132,1715520466.442,322.4,374.0,499.2,839.4,1512.2,1611.3,1711.2,1821.7,1992.7,2973.0,17238.5,35451.2
940.1,1379.7,173.5,71466.2,110000.0,1715520467.946,1715520473.242,316.9,358.4,493.6,797.6,1503.9,1599.8,1701.3,1815.1,1978.0,2937.6,20199.7,36891.3
856.4,1331.3,173.5,78520.2,115000.0,1715520474.746,1715520480.053,326.7,350.9,428.0,553.2,1394.5,1531.7,1627.5,1720.3,1863.7,2855.6,18187.6,35587.0
911.2,1393.6,173.5,74042.8,120000.0,1715520481.557,1715520486.872,323.9,359.6,464.6,693.6,1466.0,1574.7,1670.1,1776.5,1940.8,2945.7,20056.2,39249.2
895.7,1334.2,173.5,74994.2,125000.0,1715520488.376,1715520493.681,332.2,363.4,455.5,649.8,1448.5,1567.3,1660.2,1756.1,1911.1,2911.8,17170.5,37308.6
