#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      399.4   424.5   187.4   254.4   273.8   378.1   414.2   433.0   447.2   462.7   483.3   513.2   637.8  6238.5 19778.9   4944.4     5000  1715521004747  1715521010213
read      420.7   304.2   173.5   237.8   252.7   414.9   473.9   502.8   522.0   541.9   568.5   605.7   684.6  3927.3 16298.5   9956.6    10000  1715521011719  1715521017130
read      437.7   360.2   173.5   232.8   247.4   420.2   506.1   546.2   572.4   599.6   630.6   674.1   749.9  4316.3 12557.6  14995.4    15000  1715521018634  1715521023959
read      443.3   231.6   173.5   230.3   246.4   412.5   518.6   571.8   605.8   639.7   678.4   730.1   820.5  1327.8  9525.2  19750.0    20000  1715521025463  1715521030783
read      460.4   232.1   173.5   233.7   250.4   423.3   528.9   590.1   631.0   674.7   723.9   786.2   895.0  1345.7  8621.1  25118.4    25000  1715521032288  1715521037612
read      476.7   248.3   173.5   235.7   251.9   436.1   544.1   609.7   655.1   705.5   763.2   838.7   990.5  1377.2  8161.9  29860.2    30000  1715521039117  1715521044441
read      465.4   289.8   173.5   228.2   244.0   416.9   524.6   591.5   642.1   697.5   759.1   837.2  1000.2  2288.8 11238.2  34882.1    35000  1715521045945  1715521051279
read      486.4   270.8   173.5   234.1   250.0   424.7   549.1   624.7   681.8   744.7   819.3   923.8  1159.2  1466.8  8423.3  39891.0    40000  1715521052784  1715521058088
read      472.0   277.2   160.7   229.6   245.2   404.6   524.1   600.2   657.9   724.3   801.3   905.1  1177.8  1599.9  9804.0  45094.2    45000  1715521059592  1715521064899
read      475.8   299.8   173.5   230.8   245.9   374.1   494.5   584.0   658.3   749.1   852.9  1012.8  1404.7  1905.9  9683.9  49994.5    50000  1715521066403  1715521071703
read      478.4   309.0   173.5   232.1   248.2   380.4   489.0   576.0   649.4   737.5   845.1  1016.0  1456.2  2173.2  8843.3  54944.2    55000  1715521073208  1715521078517
read      474.7   323.9   173.5   231.4   247.2   380.4   481.8   551.5   615.7   703.4   826.9  1052.1  1512.9  2116.5  9986.5  59928.4    60000  1715521080021  1715521085330
read      471.0   319.6   173.5   232.4   248.3   371.3   468.2   543.2   613.5   709.1   837.7  1059.7  1508.1  2054.0 10120.0  64800.8    65000  1715521086835  1715521092136
read      499.0   325.7   173.5   239.3   258.0   399.1   502.0   580.1   654.3   753.8   893.6  1109.3  1559.2  2389.8  8138.3  70016.7    70000  1715521093640  1715521098939
read      906.2   899.7   173.5   321.1   359.0   486.3  1116.2  1525.8  1618.1  1709.9  1814.5  1977.7  2932.4  8766.0 30399.7  71873.2    75000  1715521100443  1715521105742
read      574.4   474.0   173.5   242.7   262.3   385.5   530.2   673.1   814.7   995.1  1152.1  1512.2  2127.8  3121.7 11045.4  80038.2    80000  1715521107247  1715521112548
read      895.6  1171.0   173.5   324.2   355.7   464.4   785.3  1497.2  1584.9  1677.2  1781.9  1941.3  2846.1 14076.3 36441.8  74372.0    85000  1715521114052  1715521119364
read      934.6  1411.1   187.4   328.5   365.8   479.0   760.5  1502.7  1594.3  1689.2  1798.7  1967.1  2937.4 20653.1 36600.2  72297.9    90000  1715521120869  1715521126176
read      920.6  1179.4   160.7   327.6   366.6   480.8   912.4  1520.5  1610.3  1701.4  1805.7  1961.8  2890.2 16438.9 35702.5  72463.2    95000  1715521127681  1715521132987
read      928.3  1390.9   173.5   321.8   353.7   479.8   748.4  1488.7  1583.8  1685.6  1803.3  1975.6  2950.1 17494.2 34948.2  72683.8   100000  1715521134491  1715521139793
read      870.9  1335.0   173.5   330.2   355.1   434.9   587.0  1417.7  1546.7  1639.1  1731.7  1872.5  2872.3 17252.0 36614.7  77158.8   105000  1715521141296  1715521146604
read      905.9  1198.3   173.5   328.5   362.1   469.3   764.1  1477.4  1581.2  1677.7  1787.9  1982.0  2910.9 16131.2 32619.5  73853.5   110000  1715521148107  1715521153407
read      917.1  1389.0   173.5   326.4   361.3   467.0   705.2  1468.2  1579.3  1675.4  1780.5  1941.6  2920.0 17285.1 36622.0  73574.9   115000  1715521154910  1715521160219
read      943.6  1201.1   187.4   328.1   375.6   498.3  1117.4  1534.4  1627.8  1717.9  1821.2  1982.1  2917.1 16366.0 36739.3  70889.6   120000  1715521161724  1715521167036
read      884.6  1136.7   173.5   329.7   359.2   457.1   776.3  1488.4  1583.2  1670.7  1761.9  1904.8  2824.3 14988.0 34781.6  75324.1   125000  1715521168541  1715521173850
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.56%,74.50%,100.00%
