#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      311.2   410.7    80.4   160.3   182.7   277.4   311.4   329.9   343.6   361.8   386.6   434.0   894.8  5226.5 15690.1   4962.6     5000  1715635775651  1715635781114
read      321.3   290.9    68.9   133.8   156.6   303.8   356.4   384.8   404.7   428.8   459.8   506.6   641.8  3893.9 11955.9  10014.4    10000  1715635782619  1715635787996
read      335.1   303.7    68.9   120.0   137.6   309.7   386.2   432.9   463.6   497.1   536.7   592.1   723.6  3446.2 12684.3  14903.4    15000  1715635789501  1715635794852
read      362.4   293.1    68.9   121.9   139.3   320.3   418.7   487.5   536.0   585.6   640.4   723.6   872.6  2444.6 11963.9  19940.2    20000  1715635796359  1715635801688
read      396.8   305.9    63.8   121.3   139.9   315.3   447.2   549.6   629.6   706.7   784.1   878.0  1048.8  2651.6  9811.3  24978.6    25000  1715635803193  1715635808531
read      401.2   337.0    63.8   121.3   139.7   289.5   423.8   549.2   660.8   758.3   850.2   959.5  1148.8  2201.5 10046.7  29974.6    30000  1715635810036  1715635815363
read      407.8   345.5    68.9   118.8   136.8   280.8   396.5   515.4   674.1   816.5   934.5  1062.7  1265.3  2007.9  9732.9  34957.8    35000  1715635816868  1715635822175
read      403.8   382.3    63.8   120.4   138.0   270.3   363.8   460.2   633.9   827.5   967.2  1114.0  1359.3  1921.1  9630.4  40034.8    40000  1715635823679  1715635829012
read      416.5   402.1    63.8   118.9   136.7   275.3   360.9   441.5   550.0   862.5  1058.3  1246.5  1514.8  2079.8  9955.2  45057.6    45000  1715635830516  1715635835815
read      416.8   420.4    63.8   119.9   137.2   271.0   351.6   417.9   495.7   838.8  1110.1  1323.2  1653.6  2058.9 10394.8  49925.8    50000  1715635837319  1715635842632
read      405.7   435.7    63.8   113.2   129.5   258.2   342.1   405.1   468.8   666.2  1098.2  1364.1  1751.9  2225.9 10709.9  54886.0    55000  1715635844136  1715635849447
read      424.8   522.0    63.8   115.8   132.9   261.7   340.9   399.6   460.3   606.0  1173.6  1525.9  1968.2  3872.4 13635.2  59822.8    60000  1715635850951  1715635856254
read      415.4   489.7    63.8   116.6   134.2   256.6   333.9   387.2   439.9   547.8  1125.3  1548.3  2039.8  2970.1 12236.7  65035.8    65000  1715635857759  1715635863073
read      420.7   531.1    63.8   117.3   135.3   257.2   330.6   381.6   429.5   519.1  1121.0  1637.0  2183.9  3278.8 15347.9  69898.2    70000  1715635864578  1715635869885
read      397.9   530.2    63.8   112.7   128.6   240.1   310.9   359.5   402.6   476.0  1024.7  1626.6  2138.5  3253.4 12673.6  75088.0    75000  1715635871389  1715635876694
read      663.6  1723.9    63.8   139.2   169.4   326.7   406.0   479.2   540.7   612.4   746.8  2418.3  6646.4 30864.4 38912.1  79280.4    80000  1715635878199  1715635883514
read      463.5   918.7    63.8   122.6   141.7   259.0   330.7   383.9   429.9   501.4   790.8  1821.6  3293.2  8377.9 32250.2  84931.4    85000  1715635885018  1715635890325
read      937.3  3145.0    74.4   223.2   244.5   332.8   435.3   515.0   551.8   587.2   629.4   731.8 13991.4 35814.5 45196.3  83294.0    90000  1715635891828  1715635897148
read      915.3  3100.3    74.4   219.9   239.3   325.5   433.7   507.5   541.2   575.1   616.8   716.2 13546.5 36361.9 46262.6  85209.6    95000  1715635898653  1715635903972
read     1004.4  3225.4    59.1   254.9   275.5   359.0   435.9   563.5   606.1   642.7   688.0   806.1 16575.7 36453.1 43722.3  78208.6   100000  1715635905476  1715635910782
read      923.6  3118.3    63.8   238.9   256.3   318.6   417.6   530.4   561.4   587.1   621.9   702.3 12882.4 36552.5 46027.4  84897.6   105000  1715635912287  1715635917594
read      920.9  3082.0    63.8   225.2   242.8   325.7   440.5   513.2   546.3   582.1   626.5   728.7 12875.0 36396.8 42278.8  85285.0   110000  1715635919099  1715635924415
read      975.1  3171.6    74.4   243.3   263.1   342.0   454.7   553.6   587.7   620.2   659.3   768.0 14707.6 35867.3 42665.1  80697.1   115000  1715635925920  1715635931227
read      901.3  3052.7    80.4   224.6   239.4   318.7   449.3   504.6   532.8   564.8   608.4   701.7 12843.4 35302.6 43540.0  86869.6   120000  1715635932732  1715635938044
read      962.3  3145.8    74.4   256.1   271.4   337.0   423.0   560.5   592.2   620.2   653.4   741.9 15402.1 36075.7 43137.4  80989.4   125000  1715635939548  1715635944852
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.56%,64.32%,100.00%
