#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      285.8   496.1    74.4   148.4   168.6   245.7   273.5   290.4   303.2   319.1   344.4   399.5   674.7  7479.7 19690.5   5060.8     5000  1715635504951  1715635510396
read      282.7   266.4    74.4   137.9   156.4   273.4   305.1   320.5   333.2   346.1   367.4   401.1   562.2  3864.4  9879.3   9936.3    10000  1715635511904  1715635517306
read      297.8   228.5    74.4   131.0   149.3   292.7   339.8   364.4   381.4   400.2   426.2   467.3   585.3  2539.3 10376.1  15099.6    15000  1715635518810  1715635524149
read      300.4   240.9    68.9   126.6   144.3   287.3   344.9   376.0   396.8   420.7   450.8   499.7   624.2  2488.3 10650.3  20062.4    20000  1715635525654  1715635530984
read      314.2   266.9    68.9   120.6   139.3   299.3   362.1   397.5   422.1   450.7   488.1   545.6   678.6  2487.1 10304.8  24990.4    25000  1715635532490  1715635537827
read      314.5   223.8    68.9   120.8   138.3   294.4   363.0   401.6   429.9   462.7   505.1   570.0   725.0  2258.3  8138.9  30004.4    30000  1715635539332  1715635544648
read      317.2   213.3    68.9   118.3   135.6   296.9   364.2   404.3   434.9   471.3   518.6   587.9   766.1  1534.6  7837.4  35011.6    35000  1715635546154  1715635551453
read      321.0   237.7    68.9   118.4   135.5   296.9   369.1   410.5   441.0   478.2   527.5   601.0   791.6  1977.5  9559.3  40095.2    40000  1715635552959  1715635558277
read      331.6   242.0    68.9   120.6   138.6   307.9   385.2   427.5   459.0   497.4   546.4   624.1   801.3  1627.9  9381.1  44959.4    45000  1715635559783  1715635565083
read      327.9   222.2    68.9   121.6   139.9   299.9   376.8   420.9   453.8   494.0   546.1   629.6   821.0  1611.4  7651.0  50192.4    50000  1715635566589  1715635571911
read      331.8   202.6    68.9   122.3   140.8   306.1   384.7   428.5   461.2   501.6   552.6   632.3   807.5  1354.3  6545.7  55018.8    55000  1715635573416  1715635578746
read      332.2   209.3    68.9   122.4   141.3   306.2   382.0   425.4   458.3   499.3   553.2   633.8   838.1  1389.8  7885.6  59888.7    60000  1715635580251  1715635585549
read      326.7   199.3    63.8   122.0   140.8   304.6   378.9   420.5   451.7   490.1   540.2   614.7   787.6  1101.4  7418.0  64846.9    65000  1715635587054  1715635592366
read      313.4   190.6    68.9   120.4   138.4   287.5   360.8   404.0   436.5   474.6   522.4   590.8   742.6  1036.7  7109.2  70120.5    70000  1715635593871  1715635599186
read      310.5   194.7    68.9   123.4   140.9   281.3   356.4   399.0   430.1   467.0   515.8   590.0   751.2  1144.6  6131.8  74880.5    75000  1715635600692  1715635605999
read      319.3   191.7    68.9   119.2   137.7   290.9   366.0   410.9   444.4   484.1   536.1   619.9   797.5  1097.9  5898.1  80099.6    80000  1715635607504  1715635612817
read      326.4   212.5    68.9   120.6   139.9   296.4   372.6   417.6   451.3   492.8   548.0   638.9   839.7  1105.5  7693.3  84791.4    85000  1715635614321  1715635619636
read      329.7   217.1    63.8   123.8   143.5   299.7   372.9   418.0   452.9   497.0   555.3   642.2   819.6  1089.7  8030.2  90146.4    90000  1715635621141  1715635626489
read      323.1   207.7    63.8   124.0   143.4   292.8   364.0   408.1   444.1   488.9   547.7   632.5   794.9  1072.3  7485.5  94726.4    95000  1715635627994  1715635633298
read      321.4   195.7    63.8   123.9   143.6   291.2   362.4   405.4   440.4   485.1   542.5   629.1   797.0  1054.8  5696.4  99874.0   100000  1715635634802  1715635640111
read      324.1   191.3    68.9   124.5   144.9   296.0   366.9   409.6   443.0   485.2   541.4   628.2   796.6  1018.3  5813.3 104872.4   105000  1715635641616  1715635646923
read      340.1   239.2    68.9   132.2   154.3   309.0   382.9   427.5   461.6   503.7   560.1   647.9   828.0  1119.7  9689.6 109671.2   110000  1715635648427  1715635653736
read      315.8   198.3    68.9   127.7   147.5   285.0   352.0   395.5   430.0   471.6   526.9   606.5   761.8  1001.1  7512.9 114837.4   115000  1715635655241  1715635660549
read      329.8   200.4    63.8   133.1   155.3   296.7   363.9   408.4   446.3   493.7   552.7   638.1   791.0  1038.4  7587.3 119966.6   120000  1715635662055  1715635667373
read      439.8   261.3    63.8   170.0   213.0   408.6   475.3   517.0   553.4   617.7   726.2   860.1  1039.4  1277.4 11424.2 122076.6   125000  1715635668876  1715635674184
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,61.50%,100.00%
