#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      384.6   323.7   187.4   257.3   275.8   370.1   399.6   416.0   427.2   439.4   458.9   487.6   586.5  4353.9 14544.2   4933.4     5000  1715520715545  1715520720971
read      412.6   372.3   187.4   243.3   259.7   408.3   452.3   472.8   487.2   501.5   521.5   548.8   632.9  5083.7 17583.4   9967.0    10000  1715520722476  1715520727850
read      410.7   283.0   173.5   237.1   251.1   408.1   474.2   500.5   518.0   536.9   559.5   591.7   665.9  2385.5 12440.7  14979.3    15000  1715520729355  1715520734683
read      415.5   245.0   173.5   231.1   245.7   396.1   492.0   526.5   547.3   571.0   595.8   634.1   713.2  2125.5  9875.8  19932.0    20000  1715520736186  1715520741526
read      408.2   232.7   173.5   228.2   242.5   363.2   484.8   527.6   553.3   580.1   611.0   650.9   728.2  1358.3 10356.3  24992.0    25000  1715520743031  1715520748349
read      400.3   215.5   173.5   225.5   239.3   351.3   466.3   516.4   545.9   576.6   610.5   653.7   734.7  1365.2  9949.0  30003.2    30000  1715520749853  1715520755179
read      396.1   227.3   160.7   225.4   239.3   346.8   450.2   509.8   543.3   576.0   611.3   655.4   731.5  1301.3  9682.5  35013.2    35000  1715520756683  1715520761993
read      386.4   201.3   160.7   224.2   237.5   340.5   426.7   485.9   523.2   560.0   597.6   643.5   729.3  1297.4  8790.5  39999.0    40000  1715520763498  1715520768799
read      383.5   204.8   173.5   224.3   237.7   338.7   419.1   475.8   515.9   556.2   597.1   643.1   728.5  1195.5  7724.4  44880.0    45000  1715520770303  1715520775611
read      373.7   166.5   173.5   223.8   236.9   329.6   400.2   454.6   496.7   541.0   586.5   639.2   724.4  1029.0  5331.4  50054.0    50000  1715520777115  1715520782409
read      374.7   177.9   173.5   225.4   238.7   332.6   399.4   447.5   488.0   534.7   584.0   640.5   730.2  1197.2  6810.2  55245.8    55000  1715520783913  1715520789221
read      376.2   171.3   173.5   225.8   239.6   337.7   405.4   449.8   484.7   528.1   578.8   639.5   734.3  1020.8  6264.7  59745.2    60000  1715520790725  1715520796025
read      369.6   178.1   173.5   225.6   238.9   333.3   397.0   436.4   468.8   508.7   559.1   622.1   716.1  1137.2  8883.8  64809.5    65000  1715520797530  1715520802833
read      367.4   180.7   160.7   224.9   238.5   335.0   397.5   434.0   462.9   499.3   545.4   608.8   710.6   988.9  6900.6  69892.2    70000  1715520804337  1715520809641
read      362.1   157.3   173.5   225.2   238.5   330.5   389.2   424.6   452.2   487.2   534.0   597.7   703.1  1022.9  4430.6  75054.8    75000  1715520811146  1715520816448
read      355.5   149.5   173.5   224.8   237.7   325.0   381.7   416.3   442.9   475.6   519.0   580.5   684.4   895.4  5336.7  79807.0    80000  1715520817953  1715520823257
read      365.9   167.2   173.5   226.9   241.0   340.8   399.6   432.4   457.0   486.2   524.4   580.1   685.9   928.8  6516.1  84936.2    85000  1715520824762  1715520830061
read      357.7   156.9   173.5   226.3   240.1   332.5   387.0   418.0   440.7   469.0   507.0   564.9   676.0   978.8  6870.7  89736.5    90000  1715520831565  1715520836878
read      363.9   162.6   173.5   229.1   243.8   343.2   397.2   426.8   448.5   473.5   507.7   561.7   670.4   909.0  5797.9  94999.1    95000  1715520838383  1715520843680
read      368.5   158.6   173.5   230.8   246.0   348.8   401.5   430.8   452.8   478.5   512.5   565.9   683.2  1013.9  7644.3 100116.8   100000  1715520845184  1715520850486
read      359.1   144.7   173.5   231.1   246.0   342.2   389.6   415.5   434.1   458.6   490.5   540.2   641.1  1034.9  5203.0 105117.4   105000  1715520851991  1715520857309
read      373.0   152.5   160.7   237.5   254.2   357.2   403.8   430.7   451.0   473.9   506.2   558.7   675.8   934.3  6253.1 110084.8   110000  1715520858815  1715520864106
read      456.0   221.0   173.5   247.4   268.4   403.6   492.2   563.9   612.9   663.8   722.2   799.9   933.1  1116.9  8038.4 112673.3   115000  1715520865611  1715520870915
read      365.5   139.7   173.5   240.0   257.5   354.7   394.9   417.5   433.2   454.4   480.9   525.8   622.0   866.9  6159.4 120171.4   120000  1715520872419  1715520877720
read      450.2   210.4   173.5   255.3   278.2   409.4   499.8   555.9   591.4   629.1   673.2   733.8   849.9  1024.7  7867.1 121147.2   125000  1715520879224  1715520884527
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.38%,63.00%,100.00%
