Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715087570529
Timestamp end: 1715088471175

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      361.8   429.6   160.7   220.3   238.6   337.8   369.1   386.3   398.0   412.6   431.3   465.8   651.6  7506.5 15259.9   7353.3     7434
read      379.7   330.1   148.8   203.3   216.3   330.9   399.9   443.2   477.5   521.1   577.9   668.3   967.6  3301.2 10306.9  67145.0    67201
read      396.5   445.2   148.8   206.6   221.6   337.4   402.6   443.5   474.8   514.6   570.3   667.7  1524.9  6367.9 13068.7  85964.1    85927
read      375.4   253.1   148.8   203.9   217.2   332.3   401.5   445.3   480.0   524.1   580.9   667.1   866.4  2311.1  8106.7  64022.4    63953
read      378.0   300.0   148.8   200.1   212.9   331.2   416.2   469.5   505.8   543.9   587.1   648.0   819.6  2725.1  9530.8  31558.2    31595
read      384.7   442.5   148.8   205.7   220.4   332.6   396.2   435.8   467.2   505.8   557.5   642.7  1077.6  5572.8 22574.4  87827.7    87879
read      363.8   596.1   160.7   218.2   236.1   337.0   368.4   385.7   397.5   412.5   432.1   469.1   680.1  8148.3 31663.2   7288.8     7287
read      474.8   553.9   148.8   205.6   221.4   336.0   419.7   488.8   548.4   657.7   919.2  1295.3  1860.6  6957.3 19320.6  62192.6    62295
read      464.7  1348.1   160.7   209.9   230.9   348.6   394.7   420.9   439.4   461.9   492.0   546.0  2556.6 28785.4 37875.0   6653.7     6561
read      541.9  1101.8   148.8   200.8   215.5   396.6   519.8   605.5   670.7   737.5   813.4   932.5  2996.2 15275.4 36102.0  22623.8    22532
read      424.3   434.9   148.8   201.4   215.2   327.0   399.8   455.2   502.5   565.2   668.8  1061.1  1689.3  4347.5 12379.5  60574.0    60653
read      367.0   228.6   148.8   201.4   214.3   326.9   394.2   436.1   471.6   516.6   572.1   647.6   822.5  1805.5  9003.7  59055.4    59076
read      371.8   245.3   148.8   202.7   215.5   329.4   398.3   442.9   478.8   522.9   577.0   653.7   850.9  2150.7  9588.7  59994.0    60154
read      374.9   275.7   148.8   203.2   216.0   340.9   430.1   472.9   499.7   527.8   559.2   605.9   732.1  1879.1 10286.5  22959.1    22964
read      357.6   362.4   160.7   218.5   235.8   344.2   377.7   395.4   407.4   423.8   442.8   474.9   603.6  4219.5 16226.3   8182.2     8172
read      416.8   331.2   148.8   203.6   217.4   357.8   462.9   518.0   554.0   598.7   667.4   792.4  1065.6  3405.1 12377.0  27631.4    27652
read      519.0   589.4   148.8   206.8   222.3   362.4   509.6   630.7   756.4   887.4  1025.2  1201.5  1610.8  6196.7 23607.0  37507.0    37594
read      503.9   630.3   160.7   206.5   221.9   400.7   540.9   638.1   712.4   785.5   863.2   978.7  1268.3  7793.9 31111.2  24422.8    24367
read      510.0   500.7   160.7   206.9   222.2   369.1   520.2   638.5   758.7   875.4   995.6  1146.2  1448.7  5769.7 14789.4  33728.6    33771
read      548.5   557.8   160.7   217.0   236.2   399.9   490.6   550.9   605.8   690.4  1195.9  1700.0  2176.1  3229.4 18976.3  85004.6    84944
read      371.8   241.4   148.8   207.2   221.7   333.8   398.5   438.7   469.4   507.2   557.7   637.4   831.3  2436.7  8499.6  85678.6    85666
read      379.2   243.8   148.8   203.7   216.8   334.2   406.8   457.0   497.0   545.3   604.4   680.9   847.0  1861.4  9731.7  51804.3    51918
read      390.1   318.7   148.8   203.6   216.7   335.8   428.6   490.8   531.5   573.6   621.0   684.2   844.3  2614.6 11703.2  34467.0    34406
read      389.6   307.4   160.7   203.6   216.5   337.2   439.9   497.7   533.0   569.2   609.9   667.5   806.3  3061.5 11560.6  28594.9    28664
read      380.5   239.5   148.8   202.3   214.8   331.2   414.3   472.7   515.6   560.4   611.5   678.1   831.3  1690.2 10563.9  38242.0    38289
read      422.1   486.6   148.8   205.3   219.7   370.2   464.7   510.5   542.5   582.0   640.8   771.2  1015.0  4871.9 14711.8  20582.8    20658
read      463.0   632.9   160.7   211.4   229.1   404.1   496.7   550.2   587.4   627.6   676.1   746.6  1038.6  7678.6 31539.6  13808.6    13840
read      644.8   678.7   160.7   251.5   285.3   467.5   578.3   664.3   738.7   862.9  1503.5  1728.4  2465.0  7309.9 26860.9  93441.1    93419
read      366.9   203.7   148.8   210.5   225.8   335.8   394.3   430.2   458.3   493.2   539.6   613.9   783.8  2022.2  7420.2  98236.5    98284
read      370.5   215.8   148.8   204.3   218.3   329.9   399.0   442.2   475.4   517.5   572.4   652.4   821.7  2175.7  7987.5  71294.4    71313
read      388.6   345.9   148.8   201.2   214.8   335.1   415.5   471.7   514.9   561.4   614.5   687.5   923.5  2975.7 12741.8  42184.3    42089
read      384.6   333.7   148.8   200.8   214.3   333.6   409.7   462.5   504.2   552.1   609.2   684.2   887.1  2982.2 15431.6  46352.5    46458
read      384.6   380.4   148.8   200.2   213.8   331.6   424.9   481.4   518.4   556.3   598.1   657.7   797.0  4325.0 15306.1  30799.8    30755
read      381.8   233.3   148.8   202.4   216.1   333.5   412.8   468.0   510.6   558.5   612.8   682.9   847.9  1825.5  8846.4  42802.5    42889
read      365.3   230.9   148.8   207.3   222.4   330.0   390.1   426.9   455.7   491.5   539.9   619.3   813.3  2111.4  8124.7  93632.2    93552
read      431.7   387.6   148.8   207.8   222.8   338.4   414.8   470.3   517.5   579.8   675.5  1020.2  1812.1  2917.1 11306.0  65592.4    65694
read      392.7   374.6   148.8   201.6   214.1   333.4   431.6   488.7   524.9   563.4   609.1   681.9  1012.2  3798.9 13814.1  29612.8    29574
