Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715196271918
Timestamp end: 1715197172699

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      346.0   296.8   160.7   213.1   230.6   330.0   359.7   373.8   385.8   398.2   416.4   448.9   641.3  4026.1 12099.9   7411.2     7434
read      456.5   357.6   148.8   211.7   230.6   372.2   457.0   510.1   551.3   609.5   700.8   941.1  2014.0  3678.8  8930.5  67202.4    67201
read      433.0   270.5   148.8   214.4   234.1   380.4   458.5   505.6   542.8   590.2   661.5   790.8  1460.0  2489.3  8088.7  85682.8    85927
read      438.1   301.2   148.8   209.9   228.6   369.2   451.3   504.3   547.1   605.2   693.2   899.0  1510.5  2319.5  9952.0  63963.6    63953
read      431.5   287.8   148.8   202.7   218.8   363.6   465.3   524.8   566.1   619.0   706.2   905.5  1265.3  1844.4  8842.1  31557.8    31595
read      499.7   457.9   148.8   230.3   256.7   413.6   499.4   554.3   600.7   663.7   754.9   976.5  1882.5  5514.1 12936.2  87605.8    87879
read      384.8   396.5   160.7   212.5   231.6   356.7   396.7   420.1   436.2   459.7   489.6   538.9   893.3  7298.2 12117.4   7338.0     7287
read      437.4   324.9   148.8   206.1   223.9   366.2   448.1   500.2   540.2   590.9   672.0   862.2  1744.3  3184.4 10256.1  61955.0    62295
read      349.1   322.3   148.8   218.1   238.7   332.8   360.8   374.2   386.2   398.4   417.8   454.9   617.2  4004.0 12627.1   6603.6     6561
read      373.0   258.8   148.8   202.0   217.2   350.0   430.6   465.0   486.5   508.1   535.5   575.0   681.5  2693.4 12084.5  22427.0    22532
read      373.8   212.2   148.8   199.5   215.1   343.0   416.2   457.9   488.6   524.1   567.0   630.5   798.9  1495.4  7986.5  60556.2    60653
