Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715094469688
Timestamp end: 1715095370258

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      390.0   335.7   160.7   223.6   245.8   379.6   419.6   441.4   457.3   473.9   498.9   537.9   633.1  4002.3 13576.1   7443.8     7434
read      395.3   292.7   148.8   206.9   222.6   348.3   427.5   475.0   510.6   552.6   608.1   691.1   935.1  2893.7  9136.9  67100.2    67201
read      390.2   265.1   148.8   210.6   226.8   350.7   420.6   462.3   494.0   532.7   584.1   668.5   897.7  2550.2  9813.1  85908.4    85927
read      402.3   330.3   148.8   207.3   222.6   351.1   433.3   481.6   518.0   562.9   620.6   708.6  1050.0  3143.4 11080.6  63801.4    63953
read      416.6   372.1   148.8   204.4   219.0   355.6   463.2   522.5   559.4   597.6   643.1   718.6  1083.5  5346.3 10441.2  31541.0    31595
read      427.6   492.4   148.8   212.0   229.8   363.3   435.1   479.3   513.0   555.0   615.5   725.4  1674.6  7075.8 16988.9  87791.4    87879
read      404.2   624.2   160.7   226.3   249.3   372.7   408.8   428.2   441.7   459.2   480.5   515.4   639.1 11187.8 28654.4   7238.0     7287
read      393.1   259.3   148.8   206.2   221.4   346.7   428.7   476.5   513.1   557.6   614.2   695.7   896.8  2140.0  9394.0  62185.2    62295
read      374.6   277.9   160.7   227.4   253.0   362.2   394.5   412.2   425.4   439.6   461.3   496.0   594.6  4588.1 12314.1   6515.6     6561
read      401.3   267.6   148.8   204.2   219.0   369.6   470.8   513.3   540.2   569.6   602.8   648.9   778.6  3542.5 10495.5  22451.6    22532
read      417.2   438.9   148.8   208.0   223.6   353.7   437.0   487.3   526.2   574.0   634.7   731.5  1392.0  6267.0 13650.1  60578.8    60653
read      399.6   383.6   148.8   205.0   220.2   346.5   426.8   475.4   511.7   555.0   609.2   693.0  1108.0  2751.5 14601.2  59096.2    59076
read      384.1   214.5   148.8   204.9   219.7   342.9   422.6   469.5   505.8   549.3   601.3   673.8   833.4  1881.7  6622.1  60131.6    60154
read      389.4   275.5   148.8   202.4   216.7   359.5   458.8   499.6   525.2   551.0   582.0   625.3   722.6  1960.3 12090.5  22901.4    22964
read      388.2   408.8   160.7   220.6   239.8   372.7   411.8   432.2   447.4   464.2   486.7   520.1   639.3  5698.8 21230.2   8208.4     8172
read      391.1   281.9   148.8   200.1   213.8   347.2   455.8   506.7   537.2   569.8   607.2   659.7   781.9  1565.2  9814.2  27777.0    27652
read      404.7   621.0   148.8   201.5   215.3   344.7   440.8   498.4   537.6   579.0   625.9   689.0   865.4  3774.5 33473.2  37764.0    37594
read      402.9   437.3   160.7   201.3   215.1   358.1   466.3   510.5   538.4   568.4   602.2   651.3   805.4  4472.1 15028.1  24132.4    24367
read      396.7   226.4   148.8   201.2   215.2   343.5   450.2   513.4   553.5   592.9   635.4   690.3   839.2  2025.4  7619.4  33792.6    33771
read      380.6   241.7   148.8   208.1   223.6   341.3   410.5   452.1   483.6   522.8   575.4   655.9   859.6  2213.5  8244.0  85033.8    84944
read      377.8   239.9   148.8   208.5   223.7   339.4   408.0   449.7   480.7   519.1   570.2   645.1   817.3  2528.5  7645.7  85828.6    85666
read      388.1   194.2   148.8   204.7   219.5   342.2   424.5   480.7   526.6   579.0   633.5   696.0   807.2  1463.4  6785.3  51964.8    51918
read      405.4   360.9   148.8   201.5   215.6   339.0   453.8   520.7   560.6   600.3   640.3   694.3   936.0  4599.6 10155.8  34304.4    34406
read      405.5   285.8   160.7   203.9   218.8   353.1   472.6   530.5   564.7   598.9   635.8   685.9   804.3  3547.1  8946.2  28669.6    28664
read      485.1   458.4   148.8   209.1   225.6   364.8   496.7   577.7   634.1   712.6   881.4  1143.0  1591.6  5388.1 13907.5  38402.4    38289
read      498.3   344.6   160.7   215.6   233.2   450.9   566.9   638.8   698.0   756.4   821.6   917.3  1134.7  3586.0  8585.3  20518.0    20658
read      470.6   366.2   160.7   218.5   237.3   438.1   531.9   583.9   620.6   663.5   715.4   785.1   959.4  3816.3 15896.2  13862.2    13840
read      928.8   849.7   160.7   290.2   329.7   578.5  1049.4  1519.6  1631.1  1726.7  1831.5  1989.1  2909.3  8995.2 29938.5  93265.8    93419
read      590.8   335.4   173.5   299.9   337.7   544.4   622.9   676.8   728.1   808.9   930.4  1058.4  1244.6  2516.7 13174.6  98477.6    98284
read      409.7   219.1   160.7   219.6   237.5   374.5   447.6   491.0   524.2   565.6   622.3   714.6   922.4  1334.1  9258.3  71344.2    71313
read      394.7   226.9   148.8   203.6   218.1   344.7   438.0   500.8   545.0   591.1   638.5   696.3   833.3  1758.1  8187.4  42221.6    42089
read      401.2   226.3   148.8   206.2   221.4   351.5   440.5   499.6   544.6   594.4   650.1   722.8   906.4  1718.4  7853.7  46416.0    46458
read      403.8   290.5   160.7   203.7   218.8   354.5   461.0   517.9   554.2   591.5   634.4   694.0   856.4  2844.0  9214.3  30763.8    30755
read      403.1   294.2   148.8   204.7   220.0   352.6   441.7   500.8   543.3   591.5   644.3   717.1   892.0  2034.8 11792.7  42891.8    42889
read      397.4   240.3   160.7   217.7   235.0   364.0   431.6   471.6   502.6   540.1   588.8   668.5   863.6  1972.5  8120.1  93705.0    93552
read      392.7   265.4   160.7   208.4   223.4   345.9   426.9   476.4   515.0   562.4   620.8   699.1   891.1  2125.7  6178.3  65545.8    65694
read      398.5   296.0   148.8   202.5   216.4   342.5   456.9   516.6   553.4   588.7   626.9   677.9   809.6  2551.0  9740.0  29508.8    29574
read      399.6   285.8   148.8   206.5   221.7   347.8   432.8   490.2   535.8   588.0   643.9   716.0   871.1  2345.5 10521.8  51514.8    51355
read      394.3   210.0   148.8   208.8   224.4   351.2   430.5   478.9   515.5   560.1   617.1   698.9   882.4  2163.4  6016.3  67435.8    67361
read      403.1   295.0   148.8   209.0   225.0   392.1   469.3   502.9   525.3   548.3   578.6   621.6   733.3  2172.2 12756.2  16335.4    16287
read      399.7   291.4   148.8   212.8   229.1   357.1   431.6   476.2   509.4   549.6   603.7   687.6   916.9  2629.4  8978.6  81322.0    81508
read      392.9   202.0   148.8   214.3   230.9   357.1   428.2   470.3   502.6   541.5   591.5   673.5   856.9  2190.5  5549.5  87680.0    87619
read      399.4   226.0   160.7   219.2   237.3   367.1   433.7   473.0   503.7   541.2   590.6   672.9   868.7  1883.8  8592.0  99045.0    99068
read      396.2   237.6   148.8   206.2   221.3   346.5   431.1   488.4   533.1   584.8   641.1   709.8   862.6  1961.4 10164.3  51401.8    51267
read      400.0   340.9   160.7   218.4   234.0   394.2   450.4   476.3   493.8   511.9   536.5   572.1   667.3  4000.8 15694.3  11822.8    11822
read      406.5   213.5   148.8   221.9   241.1   374.1   443.4   484.3   514.6   551.8   602.6   682.5   867.7  1882.8  7634.4  97535.8    97494
read      398.6   230.6   148.8   219.4   237.4   366.7   433.4   473.1   503.9   541.0   589.2   668.1   848.1  1875.5  8393.2  97219.8    97350
read      402.1   311.0   148.8   207.4   222.5   350.8   434.8   489.4   531.7   582.2   640.0   719.2   918.1  2524.1 10586.4  55560.8    55460
read      391.4   273.3   148.8   212.5   228.7   353.1   424.3   466.8   499.4   538.0   588.0   669.9   869.8  2500.4  8008.4  86168.0    85984
read      386.7   216.6   148.8   211.0   226.7   349.0   420.9   464.1   497.2   537.1   589.1   671.3   842.9  2227.1  7837.7  81998.2    82043
read      398.3   232.8   148.8   206.9   221.7   348.4   432.9   488.7   531.5   582.2   638.9   711.6   884.7  2607.6  7844.0  52769.0    52873
read      404.4   363.3   160.7   212.5   228.4   394.5   462.1   491.1   509.0   531.3   555.7   592.2   689.7  4825.5 16824.4  14039.2    13911
read      401.7   337.4   148.8   206.5   221.5   350.6   436.4   492.4   536.3   585.8   639.5   710.0   871.7  2120.4 11897.8  49873.2    49984
read      403.1   601.6   160.7   222.2   239.3   378.2   423.0   445.4   460.3   476.8   499.1   533.6   635.3  9459.6 30669.4   9238.6     9274
read      399.0   268.2   148.8   204.6   219.6   348.9   466.0   521.4   554.3   586.2   623.2   674.3   800.2  1681.3 10620.2  27104.6    27187
read      401.9   276.4   160.7   209.5   225.3   381.0   470.9   508.1   531.5   555.8   583.7   625.9   738.1  2562.5 11621.6  18762.0    18735
read      389.2   214.6   160.7   213.6   229.7   352.3   423.4   465.4   497.3   535.3   585.2   666.3   864.4  1978.9  5838.9  86481.4    86505
read      389.8   188.0   148.8   216.7   233.1   358.5   426.5   466.8   497.5   534.0   581.9   660.5   835.9  1634.9  5633.4  92907.6    93039
read      372.3   206.5   148.8   205.5   220.1   332.4   402.2   446.7   480.9   523.4   577.7   650.9   798.8  2198.3  7113.6  76113.8    75999
read      413.9   306.1   148.8   203.4   218.1   347.2   464.3   528.8   568.8   609.0   654.0   724.9  1128.5  3814.4 10082.8  32240.8    32324
read      878.0   756.9   160.7   280.1   323.0   568.0   837.1  1411.4  1572.3  1689.3  1806.6  1974.4  2840.8  6581.8 22119.4  84333.2    84255
read      451.7   256.4   160.7   225.7   248.4   411.3   492.0   542.8   584.1   634.8   702.0   800.5  1004.5  2186.0  7974.5  81843.2    81759
read      410.8   323.9   148.8   204.2   218.7   346.1   452.7   521.6   566.9   612.8   662.4   727.7  1030.5  2741.8  9403.1  37285.2    37291
read      399.8   287.9   148.8   206.9   222.0   349.0   434.3   490.8   534.8   585.8   644.8   718.8   867.4  1993.0 10271.5  53774.4    53818
read      405.5   244.3   148.8   203.9   218.3   346.4   470.5   533.8   572.3   610.2   649.9   703.4   846.6  2449.9  9192.0  30287.8    30297
read      421.2   639.0   148.8   203.8   218.0   345.6   463.5   529.0   568.8   608.6   650.3   705.3   870.6  7747.9 24938.4  31650.6    31569
read      404.2   342.4   148.8   204.0   218.3   344.1   446.4   514.9   561.5   608.8   657.6   719.0   860.8  3061.0 12202.3  38916.2    38927
read      402.0   344.7   160.7   220.9   237.4   397.0   448.6   471.3   488.1   505.0   528.2   559.1   641.3  4391.9 16082.4  10623.2    10652
read      406.1   356.1   160.7   220.4   239.0   368.3   435.5   476.7   507.9   546.9   598.9   682.9   876.9  3061.2 12410.1  98085.4    98119
read      401.2   219.3   148.8   206.3   221.3   348.3   437.2   498.7   545.8   598.4   654.8   724.9   909.7  1935.5  6289.5  48152.0    48176
read      405.1   331.2   148.8   203.5   218.4   343.4   455.2   524.4   568.0   610.8   655.7   715.3   873.5  2154.4  8706.9  35024.0    34929
read      403.3   462.8   148.8   209.6   224.6   348.4   428.7   475.3   510.5   556.2   615.9   699.3   918.4  4518.4 20769.4  69666.2    69735
read      408.7   314.5   160.7   206.3   221.3   377.6   483.4   526.4   553.0   581.0   613.2   656.8   784.6  4002.0 13551.8  20769.0    20753
read      385.2   247.9   148.8   211.5   227.1   345.7   416.0   459.0   491.9   531.5   582.3   661.5   838.8  2383.8  8685.2  84583.4    84642
read      403.8   231.9   148.8   205.3   220.3   348.9   443.7   510.2   558.8   610.0   663.8   729.4   883.9  1872.9  8113.4  42511.8    42333
read      394.4   236.5   148.8   207.7   222.8   346.1   425.9   475.8   516.0   566.1   627.1   710.8   912.8  2022.3  7919.9  61638.4    61587
read      392.3   291.5   160.7   211.4   227.1   348.1   423.5   468.7   503.3   545.6   601.5   684.0   863.4  2428.1 10690.4  78140.0    77998
read      407.3   295.3   148.8   220.0   238.3   370.3   439.1   480.9   511.8   550.0   602.8   684.0   879.4  3030.6  9989.7  97575.4    97625
read      412.3   313.8   148.8   204.9   219.5   364.1   490.5   539.8   569.8   600.7   635.4   683.6   808.4  3490.4 13118.6  23607.4    23781
read      392.8   283.7   148.8   208.3   223.3   343.7   422.6   471.2   510.3   558.5   619.3   699.6   891.2  2354.6  9245.1  66596.8    66723
read      405.4   278.9   160.7   203.1   217.5   344.8   465.8   529.8   569.2   608.6   650.0   704.0   843.6  2199.0  8720.7  31206.6    31016
read      406.0   243.8   148.8   206.6   222.0   352.5   442.3   504.6   551.9   605.7   663.3   732.4   903.9  2111.3  8296.0  47183.8    47394
read      387.8   296.3   148.8   213.5   230.3   350.8   416.0   456.2   486.4   523.1   572.3   650.6   849.9  2828.7 11425.6  95292.6    95335
read      420.0   954.8   160.7   239.8   265.4   361.2   391.7   407.5   420.7   433.8   455.1   488.5   768.7 15002.5 31466.7   5267.2     5252
read      391.8   286.5   148.8   207.1   222.0   342.9   422.3   470.9   509.9   557.8   617.9   697.1   866.4  3186.4  7868.9  65654.2    65908
read      460.3   528.9   148.8   210.0   227.2   419.0   507.8   554.0   588.4   632.7   690.4   774.5  1013.6  8413.3 23104.6  16905.4    16889
read      532.7   600.8   160.7   212.1   228.9   370.2   523.2   630.5   743.3   898.4  1074.7  1319.0  1706.3  5017.4 30175.0  42905.2    42912
read      860.0   762.3   160.7   281.6   322.9   542.4   781.6  1394.8  1555.1  1672.2  1781.9  1939.8  2893.0  6989.5 20094.2  99702.8    99898
read      422.8   522.0   148.8   210.3   226.5   362.6   462.5   516.8   553.7   593.6   639.0   714.8   993.7  5099.6 28693.9  26370.8    26385
read      418.8   519.8   148.8   205.3   220.4   370.0   481.0   527.8   556.8   586.4   621.8   672.1   821.9  5063.5 30691.8  22648.4    22616
read      398.3   276.0   160.7   206.1   220.9   347.8   432.2   488.7   533.8   586.1   643.4   714.9   859.9  2653.0  7576.2  50675.6    50605
read      372.7   229.2   148.8   208.3   223.9   336.9   401.9   441.6   471.4   508.9   558.9   636.2   805.2  1800.1  9254.4  90403.4    90283
read      399.2   227.9   148.8   203.7   217.9   347.5   471.3   525.9   559.6   592.8   629.3   677.8   797.0  1711.9  8771.1  26412.4    26273
read      400.2   238.7   148.8   205.2   220.0   347.4   435.9   496.5   543.6   596.2   654.4   725.7   898.4  1941.2  8579.8  48525.0    48521
read      403.9   250.4   148.8   203.8   218.4   343.3   457.9   527.4   570.4   612.9   657.2   714.6   847.8  2134.1  8657.1  34092.4    34058
read      395.1   329.5   148.8   209.7   225.0   346.2   422.3   468.3   504.1   548.1   606.6   690.7   930.9  2922.8  9482.3  75567.0    75648
read      411.5   393.1   160.7   207.0   221.8   383.7   481.8   523.3   547.8   574.5   604.6   644.9   764.0  4585.2 19461.0  19452.4    19482
read      404.3   296.0   160.7   211.4   227.0   395.0   469.7   500.7   521.2   542.8   570.5   609.3   730.6  3469.6 13012.4  15065.4    15054
read      402.0   304.3   148.8   210.8   226.5   352.5   431.0   478.8   514.7   558.6   616.4   703.9   980.6  3627.4  9766.7  75769.6    75754
read      382.1   394.4   173.5   238.7   265.1   359.5   390.0   405.1   419.4   433.6   456.6   494.1   638.2  5001.3 16789.7   5201.8     5187
read      397.3   260.0   148.8   205.2   219.9   380.5   466.4   501.0   523.3   546.3   575.7   617.2   746.1  3986.9  9524.5  17673.8    17656
read      385.6   313.9   148.8   212.0   228.5   347.5   412.2   451.9   481.8   518.8   567.8   643.0   844.7  2843.9  8691.8  96156.6    96343
read      399.2   305.4   148.8   201.4   215.2   336.2   445.4   517.9   563.9   609.2   654.9   711.6   831.7  2152.8 11007.8  36554.0    36665
read      386.3   283.8   148.8   209.0   224.6   340.6   409.6   453.2   486.4   527.3   581.0   666.6   935.2  2903.8  9570.6  85129.4    85269
read      393.2   248.6   148.8   200.4   214.1   335.6   454.5   520.3   559.0   597.4   636.7   686.1   795.5  1487.3  9068.7  31624.6    31525
read      388.3   236.0   148.8   205.8   220.4   339.1   418.2   468.5   510.4   561.5   622.8   699.4   871.5  2147.5  7967.5  61650.2    61798
read      414.7   487.5   160.7   217.7   233.4   402.0   460.3   486.6   503.3   523.3   545.2   582.8   682.4  6606.0 18925.7  12295.4    12253
read      399.7   339.4   148.8   201.0   215.0   344.3   470.2   523.0   554.4   585.7   621.3   669.3   791.1  3616.2  8747.2  25701.6    25710
read      393.3   375.6   148.8   209.0   224.5   346.0   419.2   463.2   496.7   537.6   590.2   674.5   861.4  4462.8 12555.1  80033.0    79937
