avg,std,min,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,timestamp
364.7,469.0,148.8,7409.6,7434.0,216.2,235.1,340.5,369.6,385.9,396.9,410.5,429.8,465.6,653.4,7830.5,19848.7,0
384.5,349.7,148.8,67219.4,67201.0,201.9,216.4,338.2,410.5,456.6,491.4,530.7,580.4,665.3,934.8,3907.0,10195.1,10
369.4,206.9,148.8,85758.0,85927.0,201.6,215.8,333.0,399.3,439.2,470.5,507.7,556.3,636.6,859.7,2020.8,7840.0,20
382.8,305.5,148.8,63808.6,63953.0,202.1,215.6,337.4,407.4,452.4,487.5,529.2,582.0,663.7,959.7,2962.6,9880.5,30
394.3,536.6,148.8,31609.6,31595.0,199.9,213.4,331.2,417.5,470.1,504.0,538.6,580.1,643.1,995.1,7005.5,30336.5,40
413.2,486.5,148.8,87918.0,87879.0,204.5,220.4,348.8,417.9,460.0,492.3,531.7,586.5,694.2,1732.1,6837.4,16323.6,50
353.3,410.6,160.7,7385.8,7287.0,214.2,231.6,331.7,361.6,376.4,388.7,401.1,421.0,455.1,666.7,5570.8,19443.8,60
375.7,317.5,148.8,61997.4,62295.0,200.1,213.9,335.9,405.0,449.3,483.7,524.2,574.1,648.1,833.8,2023.8,11618.4,70
352.8,501.7,160.7,6540.8,6561.0,214.7,233.8,326.0,354.1,368.3,378.6,392.6,408.7,441.6,677.3,7561.7,29511.8,80
372.7,276.2,148.8,22561.0,22532.0,200.0,213.4,341.4,425.1,466.9,493.4,520.8,549.8,595.9,730.8,2262.2,13211.9,90
389.8,443.8,148.8,60779.4,60653.0,198.8,212.7,337.0,405.6,449.2,483.4,523.7,575.5,660.3,1199.6,5665.5,17053.4,100
380.0,328.5,148.8,59219.4,59076.0,200.1,214.8,338.2,407.3,449.4,481.1,519.8,566.3,635.9,918.7,3079.8,13369.5,110
363.1,196.7,148.8,60069.8,60154.0,197.6,212.1,331.3,398.3,439.1,471.2,510.0,554.5,619.0,747.5,1606.3,8202.0,120
363.3,282.4,148.8,22898.0,22964.0,196.5,210.5,331.6,416.3,456.4,481.1,505.0,531.6,567.4,663.8,3620.8,13794.4,130
367.8,504.1,148.8,8196.6,8172.0,206.8,223.1,334.4,369.1,387.5,399.6,415.9,435.2,476.8,1295.9,7838.3,18839.4,140
359.8,273.6,148.8,27669.8,27652.0,194.3,207.5,320.5,404.4,452.1,483.0,513.9,546.3,593.2,709.6,1782.3,12304.3,150
367.9,360.1,148.8,37628.8,37594.0,195.0,208.5,322.0,396.1,444.3,480.5,518.1,560.0,619.2,757.9,4407.7,12939.8,160
360.9,266.0,148.8,24389.0,24367.0,194.7,207.9,323.0,410.4,453.5,481.1,508.2,537.4,579.6,683.4,3751.2,8727.0,170
359.5,232.3,148.8,33748.0,33771.0,194.2,207.6,320.3,398.9,448.1,482.3,517.9,555.5,610.3,735.5,1574.0,6752.1,180
354.7,203.1,148.8,84985.8,84944.0,195.7,209.5,321.8,385.8,423.9,453.6,489.8,536.2,608.1,776.9,1814.1,8002.5,190
361.2,273.3,148.8,85431.6,85666.0,196.3,210.2,324.4,388.7,426.9,456.9,493.6,540.7,619.1,825.8,2298.1,8642.5,200
363.7,179.3,148.8,51823.2,51918.0,196.4,210.8,333.2,401.6,444.4,477.5,517.0,561.2,623.9,747.0,1281.3,7169.6,210
380.7,334.9,148.8,34466.0,34406.0,197.7,212.1,333.0,416.4,465.0,498.5,532.2,571.6,633.6,908.2,3622.4,13220.1,220
