avg,std,min,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,timestamp
384.0,600.0,160.7,7427.5,7434.0,224.4,242.8,350.2,382.0,398.2,410.0,424.8,442.7,478.4,981.8,7775.2,29186.7,0
379.6,383.4,148.8,67211.5,67201.0,205.2,218.9,328.9,393.8,433.7,466.9,511.3,567.6,644.0,1074.3,4404.4,13400.7,12
370.8,325.2,148.8,85812.3,85927.0,208.1,222.3,328.6,390.0,427.0,456.5,494.1,543.4,618.4,847.9,3664.0,12483.1,24
373.3,287.9,148.8,63910.5,63953.0,206.9,221.0,328.4,392.3,432.4,465.8,510.7,567.7,639.1,863.5,3146.8,10415.0,36
376.6,274.4,148.8,31586.2,31595.0,205.0,218.8,324.0,416.1,472.0,511.0,546.2,582.1,629.9,748.0,3036.6,10264.3,48
352.6,194.1,148.8,87811.2,87879.0,205.1,219.0,320.8,380.4,416.0,443.5,478.4,526.6,592.7,727.3,1763.2,7963.3,60
357.5,370.3,160.7,7329.2,7287.0,219.7,236.6,335.7,367.2,383.7,394.9,407.4,427.4,460.6,638.2,5718.8,13784.8,72
355.7,225.8,148.8,62334.3,62295.0,200.9,213.5,319.4,379.9,418.9,451.5,495.5,550.9,618.0,734.4,1862.6,8165.0,84
353.9,458.2,160.7,6603.2,6561.0,220.7,238.9,331.2,361.3,376.3,388.3,400.4,419.3,451.0,632.8,5173.7,27918.2,96
387.5,358.1,148.8,22524.8,22532.0,208.7,222.9,346.4,441.9,483.3,510.2,535.7,564.4,601.4,721.9,3775.7,12871.0,108
365.2,203.6,148.8,60724.3,60653.0,205.3,219.4,332.7,395.6,434.7,467.3,511.2,564.4,628.8,738.4,1409.4,8074.4,120
428.3,371.3,148.8,59065.2,59076.0,207.3,222.6,342.3,420.8,478.6,528.7,588.2,677.4,954.6,1617.0,3692.6,11965.2,132
369.3,190.8,148.8,60069.4,60154.0,205.7,220.1,334.4,400.2,441.7,475.1,520.9,573.7,638.6,748.8,1527.3,7770.3,144
375.7,263.7,148.8,23059.2,22964.0,207.4,221.3,335.8,431.3,474.8,503.6,531.2,560.9,597.9,691.5,2620.8,10342.9,156
