Random waveform, supplied seed
Total number of intervals = 75 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333)
Average QPS expected = 51482
Timestamp start: 1715439272616
Timestamp end: 1715440173187

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      377.6   457.5   160.7   236.8   257.3   351.5   382.0   398.0   409.7   424.9   443.5   483.3   699.1  5526.7 20226.6   7405.4     7434
read      385.7   361.3   160.7   213.5   228.4   341.0   402.9   440.6   470.1   509.1   561.9   638.7  1034.4  3853.6 12524.2  67203.2    67201
read      384.6   377.7   160.7   213.2   228.6   341.5   400.8   435.7   463.4   498.2   544.9   622.0  1075.0  4187.4 12160.9  85949.8    85927
read      377.5   238.5   160.7   213.6   228.4   342.1   404.8   443.6   473.6   514.2   566.1   634.4   786.4  2358.6  9395.8  63866.5    63953
read      381.2   266.4   160.7   212.4   226.9   337.1   421.3   468.1   500.6   535.4   573.5   625.0   769.9  2492.9 10137.6  31646.3    31595
read      371.6   292.6   160.7   212.8   228.1   339.5   398.5   432.7   459.2   492.1   536.8   607.7   789.5  2403.7 12033.5  87794.9    87879
read      368.6   365.2   173.5   235.0   255.5   345.5   375.4   391.5   401.6   416.6   433.5   468.8   626.6  5397.6 13345.4   7294.0     7287
read      370.6   259.9   148.8   210.0   225.0   335.8   397.7   435.4   466.2   506.1   557.7   625.3   762.6  1994.8  8070.7  62269.8    62295
read      364.4   461.6   173.5   233.9   254.8   335.9   363.8   378.2   390.2   402.1   422.7   459.1   660.4  6898.3 20215.4   6602.8     6561
read      393.1   311.7   160.7   217.9   232.6   361.3   445.1   482.5   507.4   535.2   567.0   611.3   731.3  3177.5 12848.9  22483.2    22532
