Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1714852301148
Timestamp end: 1714853201682

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      403.6   600.7   160.7   214.9   232.0   362.8   410.1   435.5   454.2   473.9   503.5   549.9  1129.0  9679.7 29765.4   7470.2     7434
read      474.2   586.3   148.8   209.8   225.0   350.6   427.9   484.9   534.6   603.2   731.3  1239.2  2169.5  6738.3 25409.4  67140.4    67201
read      379.2   380.3   148.8   206.7   220.6   329.5   389.7   426.0   454.8   491.6   542.2   625.5  1341.0  4883.4 11764.1  85823.4    85927
read      377.1   375.6   148.8   205.4   218.4   331.2   396.6   436.3   469.1   510.6   565.0   641.8   871.5  4348.1 12514.8  64089.7    63953
read      376.7   379.3   148.8   202.6   214.4   322.1   409.8   464.4   499.6   536.5   578.2   631.7   811.7  3715.7 12772.8  31644.6    31595
read      610.1   647.2   148.8   226.4   250.4   426.3   513.4   581.8   654.3   842.9  1539.1  1748.9  2518.9  5860.0 18759.9  87871.8    87879
read      363.7   587.6   160.7   219.4   235.1   333.9   363.3   378.5   390.3   402.1   421.9   454.3   690.1  7965.6 30399.2   7292.2     7287
read      363.0   304.5   148.8   204.0   216.7   324.0   388.5   427.8   459.6   499.1   547.9   618.6   777.4  2176.3 13690.1  62255.4    62295
read      373.8   629.8   160.7   213.9   231.7   329.0   360.7   378.6   393.3   410.4   435.8   484.5  1600.6  8271.0 29687.5   6574.9     6561
read      498.5   784.4   160.7   203.8   216.9   396.3   511.0   589.6   650.3   718.0   791.9   898.9  1690.0 11074.9 31736.4  22483.7    22532
read      437.1   415.7   148.8   201.9   216.3   333.8   406.7   464.3   515.8   589.1   735.6  1136.8  1698.8  3574.6 14068.8  60567.9    60653
read      357.3   232.5   148.8   202.6   214.5   321.8   385.9   424.7   456.4   495.2   541.4   606.6   747.2  1869.9  8900.8  58957.7    59076
read      363.2   217.8   148.8   204.3   217.3   328.6   393.1   432.1   463.6   501.4   546.8   615.4   783.3  2162.4  7804.8  59982.4    60154
read      408.9   334.6   148.8   207.9   222.7   372.4   457.1   498.3   527.7   563.4   616.5   706.4   934.2  2874.5 11117.6  22899.9    22964
read      384.9   404.9   160.7   207.5   224.7   356.5   404.2   429.3   447.0   466.5   494.0   537.0   878.4  5800.2 15974.0   8228.7     8172
read      483.5   455.6   148.8   204.7   219.7   380.0   514.8   611.1   698.3   794.6   893.2  1020.0  1271.2  4751.7 14009.3  27784.3    27652
read      503.4   491.2   148.8   207.6   222.9   360.0   498.0   604.7   726.6   870.6  1015.0  1187.8  1498.5  4916.0 14755.6  37594.4    37594
read      502.2   633.2   160.7   208.4   223.5   401.6   531.1   620.5   693.0   772.3   855.9   974.7  1315.4  7558.8 30777.3  24402.9    24367
read      496.2   381.3   160.7   210.5   225.0   367.6   513.9   622.9   739.2   860.6   982.1  1131.8  1376.9  3367.7 11145.8  33672.5    33771
read      624.4   712.3   148.8   226.2   250.0   432.7   517.1   583.7   656.8   866.7  1578.9  1790.7  2560.0  8293.3 23425.5  84900.3    84944
