Random waveform, supplied seed
Total number of intervals = 90 (5017, 7410, 40999, 57153, 29097, 8425, 12792, 63322, 64265, 52306, 82955, 94929, 15659, 80543, 26814, 22395, 46463, 21821, 82766, 56052, 62209, 80602, 56916, 43005, 48876, 16339, 15943, 8813, 58961, 17102, 94055, 55405, 8459, 13710, 93343, 57194, 57317, 42758, 80420, 43266, 69783, 61875, 64015, 36083, 98572, 68821, 55124, 38086, 30872, 8559, 64793, 98848, 49539, 35672, 29995, 83822, 23041, 66381, 91623, 42334, 81670, 62385, 88101, 37088, 70816, 39340, 16526, 13251, 80868, 71144, 54047, 84354, 40425, 6691, 22498, 69817, 66044, 19434, 53911, 72900, 8780, 88927, 39672, 84278, 97124, 50554, 93654, 70028, 98819, 46532)
Average QPS expected = 51926
Timestamp start: 1714842904470
Timestamp end: 1714843805002

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      410.4   780.3   160.7   229.2   257.4   347.3   379.4   397.9   411.9   429.3   454.1   501.6  1658.8 11697.8 31322.0   4990.0     5017
read      528.8  1417.2   160.7   219.0   236.1   373.5   429.5   458.9   479.7   505.1   540.9   616.5  4705.2 28353.5 36351.0   7384.8     7410
read      562.6   826.8   148.8   211.8   227.5   362.0   499.2   613.1   758.1   952.4  1122.2  1329.0  2572.9  9991.5 31368.0  40877.4    40999
read      498.9   628.4   148.8   207.5   223.7   350.8   441.5   512.7   575.8   673.6   942.8  1378.8  2031.8  6841.0 29751.4  57097.0    57153
read      485.9   637.0   148.8   204.5   219.1   372.4   503.4   577.8   643.5   746.7   868.7  1024.3  1404.6  7341.3 31077.2  29006.3    29097
read      426.2   655.3   160.7   216.8   234.1   377.3   433.6   463.5   485.0   508.8   542.4   596.6  1501.2  7718.4 30523.8   8472.8     8425
read      484.6   861.2   160.7   219.6   237.0   402.0   488.6   536.7   568.4   602.6   642.6   716.3  2140.9  9591.7 32259.5  12757.8    12792
read      461.7   489.2   148.8   206.1   221.6   342.9   426.2   490.7   546.2   622.9   788.7  1212.3  1846.9  4958.9 15511.2  63297.7    63322
read      456.4   404.0   148.8   206.7   222.6   344.4   427.7   491.2   545.0   620.5   782.8  1203.8  1828.2  3224.9  9954.2  64294.2    64265
read      449.8   404.3   148.8   206.2   221.6   344.4   434.4   505.9   562.8   631.5   757.2  1131.5  1642.5  3135.7 14249.4  52194.4    52306
read      653.4   687.9   148.8   219.4   241.3   435.4   529.1   608.9   748.4  1441.0  1641.3  1802.0  2653.7  6498.0 20682.9  83087.1    82955
read      412.6   246.8   148.8   217.0   234.9   374.6   447.2   491.8   525.7   568.1   627.7   736.9   949.7  1654.7  9102.0  94918.7    94929
read      404.2   406.6   160.7   220.3   235.7   377.5   444.7   477.7   500.5   528.2   564.0   624.5   787.4  3897.1 16902.1  15688.6    15659
read      586.6   539.8   148.8   220.1   240.8   412.6   498.1   567.1   640.9   856.7  1524.0  1731.2  2133.5  2970.8 13241.3  80424.9    80543
read      466.0   311.5   160.7   211.0   226.9   381.8   501.9   568.7   626.3   725.2   861.4  1018.1  1237.1  1861.1 10097.5  26819.1    26814
read      494.8   372.4   160.7   213.0   229.2   419.9   547.1   632.0   704.8   783.3   865.1   989.1  1174.8  3832.5 12636.9  22457.9    22395
read      511.2   455.1   148.8   208.1   224.4   353.1   467.5   570.1   678.7   900.0  1121.9  1356.7  1733.3  3499.1 14416.2  46465.9    46463
read      492.1   460.4   148.8   207.3   223.1   419.4   539.5   619.7   686.7   758.6   837.4   948.0  1176.4  4579.9 16162.7  21802.5    21821
read      598.9   709.9   148.8   222.8   245.4   429.8   525.5   588.0   650.6   786.3  1440.6  1746.5  2405.0  9147.9 22501.1  82760.9    82766
read      439.6   358.6   148.8   206.8   221.8   346.4   428.2   487.8   536.8   599.7   707.6  1113.0  1658.0  2323.9 10977.6  56049.8    56052
