Random waveform, supplied seed
Total number of intervals = 113 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217)
Average QPS expected = 51215
Timestamp start: 1714858681852
Timestamp end: 1714859582372

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      390.8   616.8   160.7   217.5   233.4   354.4   394.6   417.9   434.2   455.7   481.7   524.1   987.0  8522.1 31397.3   7419.4     7434
read      503.6   518.5   148.8   208.9   224.6   362.8   444.2   504.7   558.3   639.3   922.7  1563.1  2333.4  4260.0 14012.9  67214.0    67201
read      382.7   370.9   148.8   206.6   221.1   334.5   397.4   435.7   465.8   502.8   551.9   633.5   947.2  4856.8 12293.4  86081.9    85927
read      388.6   458.4   148.8   202.8   216.0   331.8   398.1   439.3   471.6   513.2   570.2   655.8  1255.5  5500.6 19585.6  63998.8    63953
read      380.9   412.8   148.8   202.8   214.7   322.6   410.5   465.3   500.0   534.9   575.4   631.0   914.0  5940.6 17479.0  31606.5    31595
read      362.1   248.6   148.8   207.2   221.0   329.4   391.3   428.4   456.9   491.5   536.6   605.6   745.2  2091.8  8393.7  87669.8    87879
read      399.4   783.3   160.7   217.1   234.0   344.3   383.5   405.8   425.1   447.4   475.7   523.0  1627.3  8894.4 32378.7   7231.5     7287
read      496.5   490.6   148.8   212.1   228.3   344.1   436.8   525.0   619.1   782.2  1023.5  1341.6  1905.4  4511.2 13457.5  62197.4    62295
read      362.1   547.5   160.7   218.3   237.4   326.3   354.2   369.3   380.8   395.2   414.7   452.9  1087.2  8495.4 27042.4   6528.5     6561
read      360.5   384.9   148.8   200.2   212.3   326.3   403.4   439.7   461.9   486.1   513.1   553.9   694.1  4279.1 12746.6  22576.4    22532
read      358.2   302.7   148.8   197.8   210.7   322.1   383.4   420.6   450.4   488.2   538.8   613.6   783.0  2274.1 10180.6  60655.5    60653
read      408.0   396.4   148.8   200.5   213.7   322.0   392.1   445.0   492.5   552.5   636.3   964.0  1557.3  3518.7 12554.9  59211.0    59076
read      477.7   469.5   148.8   205.0   220.0   327.7   413.5   499.6   585.5   771.5  1039.0  1338.0  1761.4  3512.2 14791.6  60231.8    60154
read      504.7   789.9   148.8   203.8   218.1   406.4   521.2   595.8   652.0   712.7   783.4   886.3  1682.1 10369.3 33295.1  23009.4    22964
read      399.4   545.0   160.7   209.5   226.3   364.9   419.0   446.6   464.6   486.3   511.1   556.7  1122.1  5948.2 30341.0   8163.8     8172
read      487.4   493.0   148.8   208.0   222.5   383.5   515.1   604.3   686.2   774.4   870.9  1005.2  1297.2  6025.7 16253.5  27534.8    27652
read      495.9   370.7   148.8   210.4   225.2   354.3   494.8   604.2   740.6   888.1  1024.4  1188.3  1443.1  2368.5 10155.8  37718.1    37594
read      478.3   319.4   160.7   210.8   225.4   402.4   532.5   620.9   692.0   766.7   846.2   949.6  1164.9  2702.8 10444.7  24415.8    24367
read      498.3   422.6   160.7   210.0   225.1   364.4   512.2   629.5   754.1   870.4   987.0  1132.1  1374.9  3148.0 10140.4  33705.0    33771
read      729.7   651.3   160.7   250.7   279.4   486.9   591.1   703.7  1388.1  1573.0  1698.8  1834.6  2679.1  3442.3 16082.3  84952.2    84944
read      351.1   196.5   148.8   203.9   217.0   321.0   381.0   415.6   441.9   474.0   518.0   586.2   724.8  1767.8  8108.9  85690.0    85666
read      365.2   193.7   148.8   203.5   216.1   328.9   394.9   436.7   472.8   517.0   568.5   634.0   749.6  1808.8  7029.1  51813.1    51918
read      369.1   245.0   148.8   202.9   215.4   324.8   405.2   458.2   493.0   529.1   570.1   625.1   736.9  2377.4  9658.7  34346.8    34406
read      370.4   232.9   160.7   203.9   216.6   323.0   419.0   470.3   501.3   532.3   567.2   615.1   723.4  2374.8  9700.6  28636.6    28664
read      465.4   408.4   160.7   207.8   222.1   345.1   467.5   549.1   618.9   746.7   920.2  1110.8  1402.3  3187.5 10906.9  38260.4    38289
read      472.7   449.1   148.8   210.4   225.0   413.0   523.9   596.2   651.3   710.7   776.6   865.6  1070.5  3822.8 23003.3  20662.2    20658
read      461.2   725.1   160.7   211.6   227.2   397.6   485.8   536.5   571.7   609.3   652.0   718.5  1086.9  8354.6 32503.4  13836.4    13840
read      701.3   746.7   160.7   268.8   304.3   495.7   607.1   689.1   778.6  1375.2  1613.9  1787.6  2593.2  9501.4 25231.1  93261.9    93419
read      357.6   178.4   148.8   209.8   224.5   332.3   388.1   421.2   446.5   477.3   519.2   584.0   726.5  1516.5  6537.3  98341.4    98284
read      358.3   182.3   148.8   204.6   217.2   325.3   389.0   427.6   458.6   496.8   544.8   617.2   748.7  1709.9  6458.8  71358.6    71313
