Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1714849094448
Timestamp end: 1714849995262

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      427.2   914.9   160.7   218.8   234.6   344.8   374.5   391.7   402.4   421.5   451.9   600.4  1728.0 15154.8 25620.6   7451.0     7434
read      416.3   373.7   148.8   206.2   222.2   347.8   427.0   477.1   517.3   567.3   637.5   834.7  1414.6  2692.7 15015.6  66974.2    67201
read      615.2   710.9   148.8   229.2   257.6   430.6   520.8   600.9   692.2   923.1  1507.6  1709.9  2281.5  4997.1 25536.4  85839.2    85927
read      401.2   465.4   148.8   208.5   224.3   351.2   427.6   471.8   506.1   547.5   601.4   683.5   908.1  4842.9 19790.8  64072.8    63953
read      416.0   608.3   160.7   206.5   222.0   350.5   448.3   503.6   538.0   573.8   614.8   675.6   994.6  8600.2 25865.0  31642.2    31595
read      419.1   647.2   148.8   212.5   228.7   357.1   428.0   469.8   502.4   541.9   594.6   686.8  1447.4  7304.0 26677.6  87862.4    87879
read      398.8   669.2   173.5   221.6   238.4   339.5   371.3   389.5   401.4   418.7   438.8   490.4  1789.0  9933.9 23357.2   7240.2     7287
read      397.9   352.0   148.8   207.7   222.4   353.3   428.1   472.2   507.6   549.1   604.2   686.7   964.1  2918.8 12339.5  62070.8    62295
read      378.5   572.0   173.5   224.7   244.6   338.3   369.1   387.2   399.7   416.9   437.2   485.3  1382.9  8029.5 30536.6   6600.2     6561
read      505.5   676.5   148.8   206.0   223.4   409.8   528.7   612.0   683.6   753.1   841.4   947.2  1431.6  8893.4 34077.3  22418.6    22532
read      475.2   487.0   148.8   204.6   221.1   342.1   429.7   503.3   569.2   679.9   942.4  1306.8  1806.2  4716.1 14787.2  60462.8    60653
read      382.2   231.1   148.8   203.7   217.9   349.9   419.6   460.3   492.1   531.0   581.8   660.8   820.2  2159.1  8972.9  59094.4    59076
read      368.7   202.4   148.8   201.4   215.7   339.6   407.0   444.2   471.1   505.1   546.3   609.1   790.0  2045.0  7771.4  60199.6    60154
read      382.9   428.3   148.8   206.7   222.3   351.3   420.5   453.7   475.0   499.5   531.1   584.6   820.3  4670.5 13314.6  22912.8    22964
read      358.9   302.0   160.7   219.5   235.4   347.6   379.1   395.2   405.7   421.4   437.3   467.0   577.0  3897.9 12651.3   8212.2     8172
read      384.1   253.1   148.8   208.7   223.9   347.4   435.2   481.9   510.1   538.4   571.8   621.2   772.7  2021.0 11151.1  27648.4    27652
read      379.4   374.7   148.8   198.6   212.3   325.7   404.0   459.5   498.2   537.2   580.4   637.1   942.9  3872.1 12077.0  37507.2    37594
read      457.3   483.9   148.8   205.1   220.5   385.0   490.6   546.4   593.6   669.5   762.0   899.9  1152.4  6012.0 19656.8  24420.8    24367
read      500.3   606.4   148.8   202.9   217.3   370.9   511.9   610.2   717.9   827.4   931.6  1066.2  1372.1  8554.7 24005.7  33792.0    33771
read      878.3   862.2   160.7   279.4   331.9   534.8   840.9  1438.6  1567.3  1666.8  1768.6  1903.9  2824.8  9117.0 30625.6  84980.0    84944
read      436.8   251.6   148.8   222.1   244.1   401.0   477.1   525.6   563.2   610.1   672.1   760.8   930.7  1740.6  9411.7  85396.4    85666
read      393.9   438.1   148.8   204.3   218.4   348.0   422.6   467.7   503.4   545.4   598.3   673.4   835.6  5003.9 19849.2  51924.6    51918
read      381.9   336.3   148.8   202.9   215.9   332.9   420.0   475.2   511.1   548.7   589.7   643.2   771.5  3043.0 15499.9  34391.6    34406
read      384.0   221.0   148.8   205.0   219.8   341.6   440.9   490.1   520.3   550.6   586.4   636.6   744.1  1974.1  8639.9  28771.2    28664
read      397.7   383.4   148.8   203.6   218.8   345.0   437.1   492.4   529.4   568.0   611.3   675.9   891.1  3864.2 11510.6  38025.2    38289
read      394.1   241.9   160.7   216.3   232.2   373.8   453.2   489.1   511.4   536.5   566.6   611.8   733.3  1873.3  9246.1  20815.0    20658
read      403.3   329.3   160.7   217.0   232.4   383.9   446.7   477.5   500.2   526.4   557.9   612.1   777.9  3258.9 13461.8  13772.8    13840
read      876.7   736.7   160.7   283.1   330.6   487.2  1219.2  1519.7  1604.2  1684.3  1773.8  1919.9  2821.1  5602.5 15818.8  93490.4    93419
read      577.9   315.3   160.7   311.6   348.0   513.7   642.2   718.5   766.5   816.4   871.3   946.8  1137.5  2270.0 13362.5  98167.4    98284
read      395.1   189.8   148.8   218.1   234.6   366.4   436.1   477.6   507.8   544.7   592.2   665.1   804.0  1167.0  7036.7  71159.4    71313
read      387.7   175.0   148.8   205.6   220.9   349.2   433.0   484.7   523.2   563.9   608.5   670.9   800.7  1566.8  3918.9  42174.2    42089
read      391.5   207.8   148.8   206.5   222.1   350.4   435.1   487.3   525.9   568.6   616.2   681.1   809.9  1632.6  8116.9  46295.0    46458
read      395.8   240.9   148.8   207.1   222.6   351.4   449.8   504.4   538.7   574.1   614.3   672.3   789.0  1697.7  9005.1  30778.2    30755
read      397.0   234.4   148.8   205.7   220.7   352.3   437.2   491.7   532.0   576.4   626.7   697.7   865.4  2033.9  8506.3  42872.2    42889
read      392.6   190.5   148.8   215.0   232.6   362.2   429.1   468.8   499.7   536.3   584.1   661.6   841.2  1748.4  5874.5  93462.6    93552
read      390.3   240.3   148.8   208.0   223.3   350.3   428.6   473.8   508.9   550.5   604.2   683.8   843.8  2229.2  7621.5  65759.6    65694
read      400.9   229.7   148.8   208.5   224.8   359.7   457.3   509.1   542.0   578.0   619.5   678.1   803.2  1728.8  8838.9  29723.6    29574
read      482.6   396.2   148.8   211.3   228.3   367.4   470.6   546.5   611.8   706.5   899.5  1207.2  1736.7  2941.9  9180.5  51342.0    51355
read      448.4   413.6   148.8   211.4   227.4   364.0   447.3   501.1   543.9   600.4   681.8   903.2  2004.6  3218.1 10323.3  67314.2    67361
read      395.1   237.1   160.7   221.1   235.8   379.6   451.7   483.7   503.0   525.4   549.4   590.4   726.8  3835.2  7698.1  16389.4    16287
read      385.4   197.6   148.8   210.9   226.9   352.3   423.0   464.2   495.5   533.4   582.5   658.6   820.4  1628.9  7860.4  81718.0    81508
read      387.9   241.6   148.8   212.8   228.7   353.4   422.0   462.1   492.4   529.1   577.5   650.8   821.8  2485.6  9893.3  87785.6    87619
read      386.2   187.3   148.8   218.8   235.6   358.3   420.7   458.5   487.3   522.5   569.0   638.9   798.1  1396.0  6351.6  98989.4    99068
read      401.6   271.2   148.8   208.8   224.0   360.6   442.0   492.5   530.6   574.1   626.1   702.4   856.3  2269.3 11371.5  51224.6    51267
read      388.6   345.5   160.7   225.1   240.6   378.4   430.6   455.3   470.9   490.4   510.7   545.7   651.1  3454.3 13477.5  11825.6    11822
read      418.1   236.0   148.8   223.0   243.3   383.9   453.9   496.5   529.3   570.2   624.8   709.8   887.7  2614.7  7886.1  97753.2    97494
read      402.0   205.4   148.8   222.9   241.6   372.9   440.5   480.6   510.0   546.1   592.0   663.8   816.8  1565.7  7330.6  96947.6    97350
read      384.7   207.3   148.8   205.2   219.5   345.4   424.6   471.7   507.8   550.0   602.1   675.5   822.2  1920.8  7441.0  55413.8    55460
read      383.7   198.6   148.8   210.4   226.2   349.8   420.1   461.9   493.3   530.6   578.8   652.3   820.1  1754.9  6280.6  86034.2    85984
read      378.3   196.3   148.8   208.6   223.8   344.4   414.2   455.4   486.1   524.0   573.2   645.6   801.0  1912.8  6939.6  82297.4    82043
read      402.9   241.3   148.8   206.5   221.5   351.6   428.6   479.4   519.3   566.6   625.2   720.0  1315.4  2012.8  7783.8  52859.8    52873
read      472.3   503.3   160.7   226.1   245.9   413.3   504.9   557.0   594.0   634.8   689.2   767.8  1427.9  6369.1 21337.7  13946.0    13911
read      533.4   561.4   148.8   214.3   231.0   368.7   491.8   590.1   699.4   895.6  1097.5  1383.5  1905.2  6099.6 17968.2  50052.6    49984
read      433.3   613.4   160.7   221.9   239.1   386.0   455.6   491.6   515.7   543.0   578.4   631.6  1396.1  7272.8 28145.0   9298.8     9274
read      506.5   454.3   160.7   209.6   226.0   405.4   544.1   639.0   728.8   821.4   921.6  1041.9  1302.7  6273.0 13671.7  27221.8    27187
read      493.4   605.4   160.7   217.3   234.9   423.6   525.5   588.9   640.5   701.8   764.7   879.5  1211.0  6561.8 30437.9  18659.8    18735
read      736.2   613.3   160.7   277.0   315.1   509.9   663.5   792.0   960.4  1502.5  1667.9  1832.0  2578.6  3230.5 15154.7  86214.2    86505
read      380.7   183.3   148.8   216.7   232.5   352.5   416.5   454.2   482.3   515.9   559.5   627.1   779.1  1856.6  6166.1  92932.2    93039
read      375.8   230.4   148.8   207.2   222.0   339.9   411.5   453.8   485.3   523.3   570.4   637.7   796.6  1896.7  8896.6  75883.8    75999
read      398.1   313.3   148.8   205.4   220.4   345.2   438.7   493.6   527.4   562.3   602.9   672.8   999.8  4097.2 10574.2  32517.6    32324
read      376.5   233.4   148.8   210.4   225.2   339.7   404.2   444.1   473.9   511.4   561.4   635.2   811.6  2806.0  9270.7  84137.8    84255
read      409.8   364.9   148.8   211.6   227.3   356.1   428.5   471.7   505.5   546.3   602.2   698.0  1596.9  3245.9 10274.8  81628.6    81759
read      394.1   290.9   148.8   205.8   221.0   351.4   434.1   487.9   525.7   566.3   613.5   679.4   833.0  1933.2 10527.8  37319.4    37291
read      400.1   278.9   148.8   209.7   224.8   357.2   432.2   478.7   514.7   558.5   614.3   696.0   955.3  2739.7 10058.0  53810.0    53818
read      387.8   234.1   148.8   207.7   222.6   341.2   437.0   491.1   524.4   558.2   594.4   646.3   790.8  2450.6 10073.7  30249.6    30297
read      446.9   638.5   148.8   206.8   221.6   352.1   461.8   522.3   561.3   606.2   675.4   897.6  1332.0  9677.2 29672.5  31571.0    31569
read      512.7   502.0   160.7   210.0   225.3   364.5   509.1   621.3   755.5   902.6  1029.4  1187.3  1534.1  5043.1 13387.3  38873.8    38927
read      489.2  1114.4   160.7   219.4   237.4   391.3   470.3   512.2   539.8   570.7   608.7   677.9  1887.1 16487.5 38282.1  10632.4    10652
read      931.2   748.5   160.7   278.7   323.4   555.0  1353.9  1567.2  1655.5  1730.1  1820.2  1961.8  2852.6  6002.8 17405.4  97971.6    98119
read      486.5   518.1   148.8   227.9   255.0   420.7   504.5   571.2   623.5   683.3   749.1   841.2  1441.9  5429.9 24845.4  48107.4    48176
read      379.8   220.7   148.8   203.3   217.6   340.0   420.8   473.4   510.1   547.0   588.5   642.9   772.0  1786.3  8223.4  34965.0    34929
read      374.8   270.1   148.8   203.9   217.9   338.5   407.4   448.4   478.8   517.4   567.3   640.1   811.5  2298.7  7772.6  69806.8    69735
read      372.8   227.6   160.7   209.5   224.2   350.9   425.8   462.3   485.9   510.3   539.9   582.1   690.3  1866.1  8679.0  20683.6    20753
read      397.3  1658.7   148.8   209.9   225.5   347.3   415.0   455.2   484.8   520.5   568.4   642.8   836.7  2822.2 20387.8  84569.0    84642
read      384.6  1228.6   148.8   201.6   215.6   344.3   416.0   459.8   493.4   532.8   582.1   650.7   791.2  1717.3 12816.7  42414.4    42333
read      423.6   331.9   148.8   204.8   220.1   346.6   423.3   473.4   515.5   571.1   656.1   934.3  1642.3  2584.7  8205.0  61551.8    61587
read      682.1   601.8   148.8   228.7   255.8   450.0   549.2   644.1  1001.2  1530.4  1683.2  1843.4  2588.8  3180.1 12586.2  77782.0    77998
read      389.4   273.2   148.8   215.9   232.8   357.3   422.2   460.8   489.9   524.9   571.1   642.9   822.0  2179.0  9924.2  97523.6    97625
read      384.2   245.0   148.8   209.1   223.9   348.7   437.6   480.8   507.7   537.0   571.4   621.1   755.7  2637.5  9649.8  23942.8    23781
read      387.4   269.0   148.8   204.6   219.1   349.3   424.9   467.5   500.2   538.7   589.3   671.3   849.1  2843.3 12289.3  66743.4    66723
read      389.0   236.3   148.8   204.6   219.1   346.7   439.9   492.8   526.6   562.5   602.5   660.1   784.0  1948.2  9391.8  30868.2    31016
read      403.8   358.3   148.8   205.5   220.0   356.5   440.3   491.1   528.3   571.4   624.1   701.2   914.4  3939.7 10577.7  47250.0    47394
read      389.8   222.4   148.8   214.7   231.8   358.3   425.0   463.8   492.9   528.0   575.0   649.5   842.3  2265.7  6471.0  95501.6    95335
read      377.8   511.5   160.7   226.6   250.5   331.1   358.2   372.5   385.3   399.3   422.3   465.0  1698.2  8345.1 15777.4   5271.4     5252
read      537.6   537.8   148.8   211.5   229.9   371.3   472.3   551.6   635.2   800.0  1098.6  1572.7  2317.3  5058.9 12865.9  65773.6    65908
read      384.4   271.2   160.7   212.2   226.0   369.5   441.5   472.6   493.2   515.0   541.4   581.0   692.2  2865.1 11537.7  16951.4    16889
read      388.7   219.5   148.8   203.7   217.8   351.3   429.9   479.0   515.9   557.6   606.9   678.0   836.7  1695.5  7952.0  42966.6    42912
read      412.2   346.7   148.8   217.4   236.2   372.1   439.0   481.5   514.0   555.0   611.9   702.4   912.9  4477.0 10128.1  99946.8    99898
read      381.9   216.3   148.8   207.1   222.2   343.2   433.5   481.9   512.2   542.3   577.9   627.7   767.4  1803.7  8556.5  26308.4    26385
read      384.1   271.7   148.8   203.3   216.7   355.4   441.4   481.3   506.9   535.7   570.0   620.4   760.1  2055.0 12355.2  22687.6    22616
read      391.1   274.8   148.8   203.3   217.4   355.0   433.6   478.7   511.7   551.9   604.3   680.7   849.4  2021.3  9673.4  50789.8    50605
read      387.8   339.2   148.8   213.9   229.4   350.7   416.6   456.0   485.5   521.4   568.2   639.6   827.1  3169.3 10962.2  90226.6    90283
read      406.4   293.1   148.8   208.2   224.5   359.5   450.6   499.4   531.2   566.1   610.5   693.1  1036.6  2963.6 10818.2  26352.2    26273
read      525.0   563.6   148.8   205.9   222.8   360.4   481.8   588.0   705.8   914.9  1096.7  1354.1  1821.9  7793.3 19812.2  48701.4    48521
read      511.1   506.7   148.8   205.5   221.0   377.5   529.5   641.6   753.7   881.6   988.9  1131.8  1431.9  6252.3 16865.4  34170.8    34058
read      705.6   747.1   148.8   229.7   256.7   462.1   570.8   677.7   868.9  1505.1  1677.3  1872.4  2893.3  6478.4 25270.6  75732.6    75648
read      395.9   520.7   148.8   204.6   219.0   360.6   440.0   472.9   492.9   513.9   540.2   584.2   898.9  7866.1 20133.8  19430.6    19482
read      394.9   407.5   160.7   216.8   230.2   373.4   438.2   467.1   486.7   507.0   534.4   576.0   785.5  4678.9 24996.6  15158.8    15054
read      377.1   284.3   148.8   206.3   220.6   337.5   406.2   447.9   478.7   516.4   566.1   640.6   832.3  2653.8  9577.5  75798.6    75754
read      353.1   469.1   160.7   225.3   248.7   322.8   346.4   360.8   369.9   382.3   398.6   430.2   775.9  7579.4 21140.3   5213.8     5187
read      370.4   246.1   160.7   204.2   216.8   357.2   429.2   460.5   480.3   500.7   526.7   563.3   650.7  2090.2 12373.1  17672.6    17656
read      800.1   760.2   160.7   270.1   320.7   493.1   700.8  1100.7  1483.3  1608.3  1719.3  1862.9  2783.1  8417.9 26142.4  96119.8    96343
read      387.7   356.3   148.8   204.9   220.1   343.1   421.7   471.2   508.1   547.4   593.6   661.4   839.5  2790.2 16791.5  36796.0    36665
read      377.5   209.5   148.8   206.3   221.5   342.7   411.4   452.1   482.1   518.5   566.7   639.9   820.8  2236.4  8071.6  85121.0    85269
read      384.3   255.9   148.8   198.7   212.4   341.8   434.1   487.0   520.8   556.0   594.5   648.2   786.0  2305.2  9856.2  31403.4    31525
read      380.7   297.5   148.8   204.0   218.0   341.6   413.6   456.7   490.8   533.0   585.1   658.9   805.8  2220.1 11381.2  61838.2    61798
read      375.9   324.6   160.7   219.5   233.3   364.5   415.4   440.1   456.3   472.8   496.0   529.1   628.3  3838.9 11839.8  12269.4    12253
read      379.2   257.3   148.8   201.5   214.6   339.5   438.1   486.1   514.9   543.5   577.8   624.8   740.3  2204.5  7577.7  25724.8    25710
read      733.3   677.7   148.8   223.9   249.7   459.3   570.9   899.4  1461.8  1603.5  1714.0  1847.2  2709.3  3227.3 17070.4  79540.8    79937
read      401.7   732.1   160.7   213.3   229.8   341.0   375.4   395.5   409.8   428.7   457.8   533.1  1831.3  7657.6 31893.1   7239.0     7271
read      375.5   216.6   137.8   205.6   220.8   344.9   413.3   453.0   481.9   516.8   562.6   632.3   780.7  2043.6  7334.5  85782.8    85861
read      392.5   449.7   148.8   207.6   223.7   348.7   415.1   455.1   485.1   522.1   571.3   648.2   869.9  6182.6 16599.8  91493.6    91467
read      375.9   212.6   148.8   203.7   217.7   339.9   413.0   455.9   487.9   526.8   576.0   647.1   801.5  2167.0  5978.3  72094.6    72217
