Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1714847584684
Timestamp end: 1714848485267

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      452.5   866.7   160.7   222.8   242.2   377.9   430.8   462.1   485.0   510.4   543.3   593.9  1816.2 12533.4 32078.7   7479.4     7434
read      487.4   439.3   148.8   211.1   226.7   331.2   406.6   485.9   574.7   806.0  1081.7  1392.8  1949.6  2786.9 10026.2  66957.6    67201
read      865.2   790.1   160.7   281.5   328.9   512.9   835.9  1459.3  1572.4  1668.2  1770.9  1921.3  2827.9  7900.2 24258.6  85789.6    85927
read      495.7   666.4   148.8   212.2   232.3   383.8   472.7   534.4   582.9   649.7   764.0  1092.8  1959.3  8736.5 30639.8  63980.2    63953
read      544.3  1041.7   148.8   201.6   217.6   382.4   518.8   613.8   710.6   823.8   939.0  1096.5  1659.7 14777.5 37044.3  31522.4    31595
read      481.1   656.1   148.8   218.7   237.8   383.4   460.9   509.5   547.8   597.2   674.6   864.8  2073.3  8598.0 29565.8  87847.8    87879
read      582.0  1897.7   160.7   217.3   235.1   366.0   419.4   449.5   470.1   496.0   529.9   593.9  7938.8 31864.1 37659.8   7312.4     7287
read      512.4   836.1   160.7   206.7   222.3   350.2   438.4   505.5   564.1   659.0   934.4  1387.1  2139.4 10993.6 31934.0  62209.4    62295
read      588.1  2125.3   160.7   212.8   232.8   354.3   401.3   428.9   448.8   470.5   502.8   566.9  8555.3 35774.1 46088.6   6723.8     6561
read      597.3  1526.4   160.7   203.9   218.6   408.0   525.4   609.7   679.8   745.9   828.5   960.9  2286.1 26874.8 38684.9  22573.0    22532
read      443.5   567.2   148.8   204.8   219.9   341.3   419.8   472.8   517.3   572.4   660.5  1036.4  1797.7  7217.6 19261.0  60879.8    60653
read      407.1   442.6   148.8   200.2   214.3   336.0   410.5   459.1   498.2   543.3   599.8   726.0  1627.0  4383.0 16189.3  59074.0    59076
read      441.2   370.4   148.8   201.8   217.5   339.7   422.4   481.1   531.7   608.8   779.6  1137.6  1663.5  2501.3 10176.8  60007.6    60154
read      475.0   502.9   148.8   205.4   220.7   397.9   508.4   585.0   649.9   717.5   788.2   903.1  1163.0  6443.2 25518.3  22942.6    22964
read      424.0   690.3   160.7   212.1   230.8   360.3   418.4   450.0   470.6   495.5   526.3   578.5  1931.3  8819.5 31034.5   8183.4     8172
read      525.7   884.1   148.8   203.3   219.0   378.1   503.2   593.0   682.7   773.4   886.0  1003.1  2274.8 12661.4 32181.4  27699.6    27652
read      543.2  1032.2   148.8   205.7   220.7   360.9   496.0   600.6   724.0   875.4   985.0  1135.4  1720.1 13287.7 37096.0  37528.6    37594
read      565.3  1293.2   148.8   201.8   216.8   395.8   512.6   594.8   665.9   736.2   823.7   946.6  3300.2 15092.3 35059.4  24359.2    24367
read      539.2  1071.2   148.8   202.8   217.0   367.0   502.9   604.7   711.4   813.3   918.2  1065.6  1702.1 13888.4 35723.7  33620.4    33771
read      452.8   450.0   148.8   207.8   223.8   358.3   429.1   473.9   511.0   563.2   647.5  1313.2  1873.8  4372.3 11240.2  84984.4    84944
read      390.6   371.9   148.8   207.6   222.7   343.6   410.9   452.2   483.6   522.8   574.8   659.0  1026.3  4161.5 16859.2  85756.6    85666
read      523.4  1800.5   148.8   208.1   223.5   353.7   451.3   528.8   598.1   724.1   980.9  1288.5  1910.2 10677.4 35643.4  51950.4    51918
read      532.2   952.1   160.7   205.2   220.2   371.6   506.2   603.9   713.0   828.8   936.1  1078.1  1677.4 12910.0 35366.5  34289.2    34406
read      487.4   436.5   148.8   208.7   224.3   389.2   516.3   603.0   691.6   783.2   895.1  1018.3  1295.0  4171.1 15719.1  28572.4    28664
read      516.1   579.5   148.8   211.9   227.7   375.1   510.3   612.4   725.3   864.4  1002.6  1182.8  1597.2  5614.0 21550.7  38279.2    38289
read      491.4   404.6   160.7   218.8   235.3   419.1   532.5   614.2   683.2   748.9   832.1   932.0  1155.2  5777.9 10801.2  20663.4    20658
read      450.2   234.6   160.7   227.4   247.5   411.8   505.6   561.0   599.1   638.0   687.2   750.3   917.6  2090.2  7716.5  13814.0    13840
read      448.3   329.5   148.8   216.4   234.6   378.1   451.4   499.1   538.3   591.3   678.9   847.7  1789.3  2861.2  7869.7  93409.2    93419
read      375.5   165.5   148.8   214.3   230.8   351.0   410.5   445.7   470.9   503.9   546.1   615.3   771.7  1523.3  4220.9  98333.2    98284
read      479.3   401.1   148.8   213.1   229.5   367.7   456.8   521.0   577.0   665.8   858.2  1182.4  1971.0  2983.7 11182.9  71257.0    71313
read      494.1   370.7   148.8   211.7   227.6   363.1   486.8   580.4   678.9   863.3  1019.2  1198.6  1519.1  1993.8 10770.0  42218.2    42089
read      501.4   383.9   160.7   210.3   227.6   365.3   490.3   593.5   700.3   859.4  1019.7  1231.7  1586.8  2272.5 10122.3  46327.2    46458
read      501.7   386.8   148.8   208.6   224.9   384.1   533.4   644.2   756.1   870.5   960.3  1082.4  1316.7  3954.5 10352.8  30783.6    30755
read      504.4   432.0   148.8   211.3   226.7   353.8   483.6   588.9   721.3   899.1  1052.5  1247.6  1583.2  4109.5 11639.3  42888.4    42889
read      460.8   372.0   148.8   218.8   236.5   380.2   454.9   503.7   541.9   589.4   662.9   921.8  1837.5  2973.6  9640.7  93798.0    93552
read      465.0   425.3   148.8   212.2   227.9   355.0   440.6   505.2   560.7   639.9   799.8  1160.5  1826.6  3949.9 12337.7  65625.6    65694
